股票代码,股票简称,总股本,流通股,总市值,流通市值,行业,上市时间
301162,国能日新,100152794.0,61428897.0,4539926152.0199995,2784571901.0099998,软件开发,20220429
002410,广联达,1651944342.0,1588369154.0,21789145870.98,20950589141.26,软件开发,20100525
002376,新北洋,721893332.0,698795346.0,5118223723.88,4954459003.14,计算机设备,20100323
000731,四川美丰,558829131.0,558829131.0,4381220387.04,4381220387.04,化肥行业,19970617
300352,北信源,1449824087.0,1221943382.0,9844305550.73,8296995563.78,软件开发,20120912
002054,德美化工,482115452.0,382838379.0,3100002356.3599997,2461650776.97,化学制品,20060725
603759,海天股份,461760000.0,461760000.0,3634051200.0,3634051200.0,公用事业,20210326
001301,尚太科技,260961350.0,160013600.0,17886290929.0,10967332144.000002,非金属材料,20221228
603967,中创物流,346666710.0,346666710.0,3591467115.6,3591467115.6,物流行业,20190429
600579,克劳斯,494712359.0,494712359.0,3710342692.5,3710342692.5,专用设备,20020809
603297,永新光学,111150500.0,110729100.0,10609315225.0,10569092595.0,光学光电子,20180910
873703,广厦环能,107660000.0,29372000.0,2741023600.0,747811120.0,专用设备,20231205
603818,曲美家居,688861855.0,686543855.0,2376573399.75,2368576299.75,装修建材,20150422
600515,海南机场,11425309602.0,9176012508.0,45129972927.9,36245249406.6,航空机场,20020806
300404,博济医药,382313813.0,275777387.0,3949301688.29,2848780407.71,医疗服务,20150424
000530,冰山冷热,843212507.0,600018343.0,4781014914.69,3402104004.81,通用设备,19931208
603515,欧普照明,745225175.0,734891075.0,12698636982.0,12522543918.0,家电行业,20160819
300314,戴维医疗,288000000.0,189356448.0,3735360000.0,2455953130.56,医疗器械,20120508
688190,云路股份,120000000.0,120000000.0,9636000000.0,9636000000.0,小金属,20211126
688707,振华新材,508740205.0,508740205.0,6776419530.6,6776419530.6,电池,20210914
300877,金春股份,120000000.0,119998950.0,1932000000.0000002,1931983095.0000002,纺织服装,20200824
002698,博实股份,1022558657.0,841435835.0,17945904430.350002,14767198904.25,专用设备,20120911
002573,清新环境,1424388579.0,1412886179.0,6310041404.969999,6259085772.969999,环保行业,20110422
603029,天鹅股份,121342000.0,121342000.0,2214491500.0,2214491500.0,专用设备,20160427
603676,卫信康,435161500.0,435161500.0,4769370040.0,4769370040.0,化学制药,20170721
688663,新风光,139950000.0,139950000.0,3178264500.0,3178264500.0,电网设备,20210413
000877,天山股份,7110491694.0,1822140647.0,46075986177.12,11807471392.560001,水泥建材,19990107
300735,光弘科技,767460689.0,757280526.0,24305480020.63,23983074258.420002,消费电子,20171229
600493,凤竹纺织,272000000.0,272000000.0,1623840000.0,1623840000.0,纺织服装,20040421
301587,中瑞股份,147328040.0,30545771.0,4022055492.0,833899548.3000001,电池,20240408
600963,岳阳林纸,1765751854.0,1757567854.0,9217224677.88,9174504197.88,造纸印刷,20040525
688311,盟升电子,165044251.0,164916991.0,5261610721.88,5257553673.08,通信设备,20200731
300246,宝莱特,264575527.0,211296322.0,2103375439.65,1679805759.9,医疗器械,20110719
300674,宇信科技,704057060.0,703177970.0,15193551354.8,15174580592.599998,互联网服务,20181107
300631,久吾高科,125023424.0,119265656.0,2849283832.96,2718064300.24,环保行业,20170323
688158,优刻得-W,453095081.0,402263908.0,6873452378.7699995,6102343484.36,互联网服务,20200120
832089,禾昌聚合,150668000.0,93500819.0,2119898760.0,1315556523.33,塑料制品,20211109
002842,翔鹭钨业,274867322.0,215806509.0,2058756241.78,1616390752.41,小金属,20170119
002613,北玻股份,1100568692.0,608921904.0,4952559114.0,2740148568.0,玻璃玻纤,20110830
688717,艾罗能源,160000000.0,32000000.0,9062400000.0,1812480000.0,光伏设备,20240103
000638,万方发展,311386551.0,310145601.0,1883888633.55,1876380886.05,农牧饲渔,19961126
603299,苏盐井神,781968869.0,773446186.0,8640756002.45,8546580355.3,化学原料,20151231
300244,迪安诊断,624979436.0,501459061.0,8268477938.280001,6634303377.030001,医疗服务,20110719
605099,共创草坪,401642000.0,400090000.0,7872183200.000001,7841764000.000001,家用轻工,20200930
300429,强力新材,536273592.0,398617656.0,7652624157.84,5688273951.12,电子化学品,20150324
301259,艾布鲁,156000000.0,81369788.0,7160400000.0,3734873269.2,环保行业,20220426
600367,红星发展,341130902.0,321973182.0,4390354708.74,4143794852.3399997,化学原料,20010320
301258,富士莱,91670000.0,33845750.0,2539259000.0,937527275.0,化学制药,20220329
600959,江苏有线,5000717686.0,5000717686.0,19652820505.98,19652820505.98,文化传媒,20150428
301045,天禄科技,110318358.0,67925028.0,2407146571.56,1482124110.96,光学光电子,20210813
603718,海利生物,657900000.0,644000000.0,5381622000.0,5267920000.0,农药兽药,20150515
600714,金瑞矿业,288176273.0,288176273.0,2852945102.7000003,2852945102.7000003,化学原料,19960606
600198,大唐电信,1303603541.0,880454735.0,13635693038.86,9209556528.1,通信设备,19981021
002653,海思科,1119917970.0,533468058.0,41336172272.7,19690306020.78,化学制药,20120117
002231,奥维通信,346850017.0,294818767.0,2351643115.26,1998871240.26,通信服务,20080512
003003,天元股份,176798300.0,116103532.0,1844006269.0,1210959838.76,包装材料,20200921
301096,百诚医药,109228284.0,69430320.0,4644386635.68,2952177206.4,医疗服务,20211220
300301,*ST长方,790108769.0,789876719.0,1564415362.62,1563955903.62,光学光电子,20120321
603222,济民健康,525090615.0,525090615.0,4069452266.25,4069452266.25,化学制药,20150217
603985,恒润股份,440858003.0,440858003.0,6273409382.690001,6273409382.690001,风电设备,20170505
002930,宏川智慧,457489586.0,432989241.0,5517324407.16,5221850246.46,物流行业,20180328
000505,京粮控股,726950251.0,632380336.0,5066843249.47,4407690941.92,农牧饲渔,19921221
688202,美迪西,134673082.0,134673082.0,5083908845.5,5083908845.5,医疗服务,20191105
603051,鹿山新材,104622981.0,61190886.0,2928397238.19,1712732899.1399999,塑料制品,20220325
688015,交控科技,188680742.0,188680742.0,4173618013.04,4173618013.04,交运设备,20190722
002455,百川股份,594249475.0,507603248.0,5211567895.75,4451680484.96,化学制品,20100803
000802,北京文化,715900255.0,715465255.0,5290502884.45,5287288234.45,文化传媒,19980108
