,date,open,close,high,low,volume,money,factor
0,2022-08-10,4.09,4.11,4.17,4.01,15919600.0,65343401.0,6.361044
1,2022-08-11,4.14,4.18,4.24,4.11,19793830.0,82696244.0,6.361044
2,2022-08-12,4.22,4.6,4.6,4.22,67236446.0,303475998.0,6.361044
3,2022-08-15,4.37,4.51,4.58,4.36,72766665.0,326326277.0,6.361044
4,2022-08-16,4.5,4.53,4.62,4.43,34287519.0,153731116.0,6.361044
5,2022-08-17,4.55,4.49,4.55,4.46,25019191.0,112242365.0,6.361044
6,2022-08-18,4.48,4.44,4.56,4.36,28208528.0,125060606.0,6.361044
7,2022-08-19,4.48,4.42,4.52,4.4,24434041.0,108765313.0,6.361044
8,2022-08-22,4.41,4.37,4.43,4.26,17292508.0,75431450.0,6.361044
9,2022-08-23,4.35,4.28,4.35,4.26,22636906.0,97191888.0,6.361044
10,2022-08-24,4.29,4.18,4.35,4.18,23962790.0,101932840.0,6.361044
11,2022-08-25,4.19,4.25,4.28,4.14,19255161.0,81367141.0,6.361044
12,2022-08-26,4.25,4.16,4.26,4.11,14882632.0,62401386.0,6.361044
13,2022-08-29,4.09,4.28,4.34,4.08,20114711.0,85165993.0,6.361044
14,2022-08-30,4.27,4.22,4.29,4.18,12167614.0,51317296.0,6.361044
15,2022-08-31,4.2,4.1,4.21,4.09,14243948.0,58771038.0,6.361044
16,2022-09-01,4.11,4.14,4.18,4.08,11873200.0,49076389.0,6.361044
17,2022-09-02,4.13,4.21,4.25,4.13,12771121.0,53519429.0,6.361044
18,2022-09-05,4.18,4.18,4.21,4.13,8681600.0,36112872.0,6.361044
19,2022-09-06,4.18,4.2,4.24,4.16,10840200.0,45472841.0,6.361044
20,2022-09-07,4.19,4.13,4.19,4.11,12348441.0,51053867.0,6.361044
21,2022-09-08,4.13,4.17,4.23,4.08,14659762.0,60972425.0,6.361044
22,2022-09-09,4.15,4.14,4.19,4.13,9320400.0,38626543.0,6.361044
23,2022-09-13,4.14,4.18,4.2,4.13,9351397.0,38960996.0,6.361044
24,2022-09-14,4.1,4.17,4.25,4.08,20354418.0,85263782.0,6.361044
25,2022-09-15,4.2,4.06,4.22,4.02,19810638.0,81309327.0,6.361044
26,2022-09-16,4.03,3.81,4.07,3.8,23668803.0,92104302.0,6.361044
27,2022-09-19,3.83,3.74,3.83,3.67,16324522.0,61015076.0,6.361044
28,2022-09-20,3.8,3.9,3.96,3.79,19096119.0,74325835.0,6.361044
29,2022-09-21,3.91,3.96,4.03,3.84,17908338.0,70688186.0,6.361044
30,2022-09-22,4.0,4.11,4.15,3.97,30667798.0,124758263.0,6.361044
31,2022-09-23,4.14,3.97,4.16,3.96,15194234.0,61488604.0,6.361044
32,2022-09-26,3.95,3.8,3.97,3.79,12859452.0,49606104.0,6.361044
33,2022-09-27,3.83,3.9,3.93,3.76,11144260.0,42940107.0,6.361044
34,2022-09-28,3.9,3.76,3.9,3.76,10285600.0,39283347.0,6.361044
