,date,open,close,high,low,volume,money,factor
0,2022-08-11,2.36,2.39,2.39,2.36,7303500.0,17333478.0,2.137333
1,2022-08-12,2.38,2.38,2.39,2.37,5813010.0,13841663.0,2.137333
2,2022-08-15,2.38,2.43,2.44,2.37,11418735.0,27510832.0,2.137333
3,2022-08-16,2.44,2.44,2.46,2.42,9123801.0,22256051.0,2.137333
4,2022-08-17,2.44,2.45,2.45,2.42,9123001.0,22269584.0,2.137333
5,2022-08-18,2.44,2.41,2.44,2.4,8758813.0,21150081.0,2.137333
6,2022-08-19,2.39,2.44,2.48,2.39,13334435.0,32521845.0,2.137333
7,2022-08-22,2.42,2.56,2.56,2.42,34037906.0,86582520.0,2.137333
8,2022-08-23,2.54,2.6,2.68,2.5,36637516.0,94684123.0,2.137333
9,2022-08-24,2.59,2.6,2.69,2.58,25575250.0,67235604.0,2.137333
10,2022-08-25,2.6,2.63,2.66,2.6,17740000.0,46621908.0,2.137333
11,2022-08-26,2.64,2.57,2.65,2.57,15671800.0,40787773.0,2.137333
12,2022-08-29,2.53,2.6,2.62,2.53,11628500.0,30035513.0,2.137333
13,2022-08-30,2.63,2.58,2.64,2.55,11791200.0,30483028.0,2.137333
14,2022-08-31,2.58,2.55,2.59,2.54,9796000.0,25096250.0,2.137333
15,2022-09-01,2.55,2.51,2.59,2.49,11180100.0,28383434.0,2.137333
16,2022-09-02,2.51,2.52,2.54,2.5,9374100.0,23597934.0,2.137333
17,2022-09-05,2.53,2.51,2.53,2.49,8879100.0,22221174.0,2.137333
18,2022-09-06,2.51,2.51,2.52,2.48,10105700.0,25252946.0,2.137333
19,2022-09-07,2.5,2.49,2.51,2.48,9197520.0,22942880.0,2.137333
20,2022-09-08,2.5,2.54,2.58,2.49,15595220.0,39616852.0,2.137333
21,2022-09-09,2.53,2.55,2.56,2.51,8052700.0,20442202.0,2.137333
22,2022-09-13,2.58,2.56,2.61,2.55,11265452.0,29069318.0,2.137333
23,2022-09-14,2.54,2.58,2.59,2.53,9042200.0,23188996.0,2.137333
24,2022-09-15,2.59,2.62,2.66,2.57,18365200.0,48039921.0,2.137333
25,2022-09-16,2.61,2.52,2.63,2.49,15064300.0,38535021.0,2.137333
26,2022-09-19,2.52,2.45,2.52,2.42,9706000.0,23873907.0,2.137333
27,2022-09-20,2.46,2.47,2.49,2.45,5238720.0,12927261.0,2.137333
28,2022-09-21,2.46,2.46,2.47,2.42,5522261.0,13511379.0,2.137333
29,2022-09-22,2.45,2.46,2.48,2.43,5457000.0,13392995.0,2.137333
30,2022-09-23,2.46,2.46,2.48,2.43,6454700.0,15841684.0,2.137333
31,2022-09-26,2.45,2.38,2.45,2.37,7827500.0,18879703.0,2.137333
32,2022-09-27,2.38,2.42,2.43,2.38,5351124.0,12863527.0,2.137333
33,2022-09-28,2.41,2.39,2.44,2.38,4930100.0,11866754.0,2.137333
34,2022-09-29,2.4,2.43,2.44,2.4,8819600.0,21396348.0,2.137333
35,2022-09-30,2.43,2.44,2.45,2.42,5757670.0,14019131.0,2.137333
36,2022-10-10,2.47,2.46,2.51,2.45,10856100.0,26927453.0,2.137333
37,2022-10-11,2.44,2.44,2.46,2.4,6927785.0,16828138.0,2.137333
38,2022-10-12,2.44,2.46,2.47,2.42,10851600.0,26526990.0,2.137333
39,2022-10-13,2.45,2.46,2.48,2.42,10109752.0,24754936.0,2.137333
40,2022-10-14,2.46,2.51,2.52,2.45,14981349.0,37277576.0,2.137333
41,2022-10-17,2.5,2.52,2.53,2.47,10920367.0,27282505.0,2.137333
42,2022-10-18,2.52,2.48,2.55,2.47,13031660.0,32703556.0,2.137333
43,2022-10-19,2.48,2.47,2.51,2.46,9141720.0,22632601.0,2.137333
44,2022-10-20,2.46,2.47,2.49,2.45,6465300.0,15961491.0,2.137333
45,2022-10-21,2.46,2.45,2.49,2.44,8585867.0,21095519.0,2.137333
46,2022-10-24,2.45,2.41,2.46,2.38,10172438.0,24654057.0,2.137333
47,2022-10-25,2.39,2.42,2.43,2.39,8329400.0,20020098.0,2.137333
48,2022-10-26,2.41,2.43,2.45,2.41,8019087.0,19493406.0,2.137333
49,2022-10-27,2.43,2.46,2.46,2.43,7550000.0,18474781.0,2.137333
50,2022-10-28,2.34,2.34,2.37,2.34,15912800.0,37290415.0,2.137333
51,2022-10-31,2.28,2.27,2.3,2.23,12452300.0,28194416.0,2.137333
52,2022-11-01,2.27,2.3,2.31,2.26,6038201.0,13811600.0,2.137333
53,2022-11-02,2.28,2.3,2.32,2.28,6947098.0,15972645.0,2.137333
54,2022-11-03,2.27,2.28,2.3,2.26,7399900.0,16804151.0,2.137333
55,2022-11-04,2.28,2.29,2.3,2.27,8902907.0,20334441.0,2.137333
56,2022-11-07,2.29,2.31,2.34,2.28,10731500.0,24703163.0,2.137333
57,2022-11-08,2.31,2.33,2.34,2.31,7906898.0,18365738.0,2.137333
58,2022-11-09,2.33,2.35,2.37,2.32,9732500.0,22824814.0,2.137333
59,2022-11-10,2.34,2.35,2.36,2.33,7925500.0,18587387.0,2.137333
60,2022-11-11,2.38,2.35,2.39,2.34,11438600.0,26980453.0,2.137333
61,2022-11-14,2.35,2.37,2.38,2.33,9184600.0,21696678.0,2.137333
62,2022-11-15,2.36,2.38,2.39,2.36,8492500.0,20177181.0,2.137333
63,2022-11-16,2.37,2.36,2.38,2.35,6698500.0,15841418.0,2.137333
64,2022-11-17,2.36,2.4,2.44,2.35,13280717.0,31855772.0,2.137333
65,2022-11-18,2.39,2.39,2.4,2.37,8328600.0,19843090.0,2.137333
66,2022-11-21,2.37,2.36,2.38,2.35,5610286.0,13239431.0,2.137333
67,2022-11-22,2.36,2.36,2.37,2.35,6236000.0,14710827.0,2.137333
68,2022-11-23,2.36,2.33,2.37,2.31,7100000.0,16566145.0,2.137333
69,2022-11-24,2.21,2.21,2.21,2.21,4157500.0,9188075.0,2.137333
70,2022-11-25,2.21,2.28,2.32,2.21,21161862.0,47810797.0,2.137333
71,2022-11-28,2.27,2.31,2.31,2.24,12553000.0,28474287.0,2.137333
72,2022-11-29,2.3,2.3,2.31,2.27,8616000.0,19773303.0,2.137333
73,2022-11-30,2.3,2.35,2.37,2.29,12974643.0,30334966.0,2.137333
74,2022-12-01,2.35,2.34,2.39,2.33,12283686.0,28954742.0,2.137333
75,2022-12-02,2.33,2.36,2.36,2.33,7784000.0,18280032.0,2.137333
76,2022-12-05,2.36,2.36,2.38,2.33,10993900.0,25883780.0,2.137333
77,2022-12-06,2.36,2.36,2.38,2.34,11716200.0,27548328.0,2.137333
78,2022-12-07,2.35,2.37,2.41,2.34,15425300.0,36734444.0,2.137333
79,2022-12-08,2.37,2.35,2.38,2.34,11617343.0,27357713.0,2.137333
80,2022-12-09,2.34,2.34,2.36,2.32,11135800.0,25986327.0,2.137333
81,2022-12-12,2.36,2.33,2.37,2.32,6238400.0,14602148.0,2.137333
82,2022-12-13,2.32,2.34,2.35,2.31,7905400.0,18484597.0,2.137333
83,2022-12-14,2.34,2.32,2.34,2.31,5992502.0,13940947.0,2.137333
84,2022-12-15,2.32,2.32,2.33,2.29,5925566.0,13671293.0,2.137333
85,2022-12-16,2.31,2.27,2.31,2.26,7415000.0,16907520.0,2.137333
86,2022-12-19,2.26,2.23,2.28,2.22,5279129.0,11864498.0,2.137333
87,2022-12-20,2.22,2.25,2.27,2.22,4572629.0,10253023.0,2.137333
88,2022-12-21,2.24,2.25,2.27,2.24,3043300.0,6852363.0,2.137333
89,2022-12-22,2.26,2.25,2.28,2.24,4940300.0,11183996.0,2.137333
90,2022-12-23,2.24,2.24,2.25,2.22,4495129.0,10029803.0,2.137333
91,2022-12-26,2.23,2.26,2.26,2.22,5108500.0,11424729.0,2.137333
92,2022-12-27,2.26,2.26,2.27,2.24,2836400.0,6395761.0,2.137333
93,2022-12-28,2.3,2.32,2.34,2.28,12074500.0,27951215.0,2.137333
94,2022-12-29,2.3,2.3,2.32,2.26,6349700.0,14571584.0,2.137333
95,2022-12-30,2.3,2.31,2.31,2.29,4044800.0,9298914.0,2.137333
96,2023-01-03,2.31,2.33,2.36,2.3,10783800.0,25137127.0,2.137333
97,2023-01-04,2.34,2.35,2.36,2.33,7497800.0,17584552.0,2.137333
98,2023-01-05,2.34,2.32,2.35,2.31,9124200.0,21247734.0,2.137333
99,2023-01-06,2.32,2.32,2.33,2.31,4804102.0,11138018.0,2.137333
100,2023-01-09,2.31,2.32,2.32,2.3,3293900.0,7617621.0,2.137333
101,2023-01-10,2.33,2.33,2.35,2.32,3837045.0,8947209.0,2.137333
102,2023-01-11,2.33,2.31,2.34,2.31,4012100.0,9313664.0,2.137333
103,2023-01-12,2.32,2.31,2.32,2.29,3125800.0,7198348.0,2.137333
104,2023-01-13,2.31,2.31,2.31,2.3,1752900.0,4036000.0,2.137333
105,2023-01-16,2.3,2.32,2.34,2.3,4366902.0,10138516.0,2.137333
106,2023-01-17,2.32,2.33,2.34,2.31,3593900.0,8343652.0,2.137333
107,2023-01-18,2.32,2.34,2.35,2.32,5771150.0,13490444.0,2.137333
108,2023-01-19,2.34,2.37,2.37,2.33,5496702.0,12920957.0,2.137333
109,2023-01-20,2.36,2.39,2.39,2.36,6592100.0,15658439.0,2.137333
110,2023-01-30,2.4,2.4,2.41,2.38,7436931.0,17782390.0,2.137333
111,2023-01-31,2.38,2.42,2.49,2.37,11151950.0,27125023.0,2.137333
112,2023-02-01,2.41,2.43,2.44,2.41,6430999.0,15571315.0,2.137333
113,2023-02-02,2.42,2.42,2.44,2.41,4749802.0,11516157.0,2.137333
114,2023-02-03,2.42,2.43,2.43,2.41,5244710.0,12691934.0,2.137333
115,2023-02-06,2.43,2.41,2.44,2.4,7352400.0,17766597.0,2.137333
116,2023-02-07,2.44,2.43,2.52,2.43,15209198.0,37545523.0,2.137333
117,2023-02-08,2.43,2.45,2.48,2.43,6946800.0,17057972.0,2.137333
118,2023-02-09,2.46,2.47,2.47,2.44,4722772.0,11578338.0,2.137333
119,2023-02-10,2.47,2.46,2.48,2.45,4744300.0,11706419.0,2.137333
120,2023-02-13,2.47,2.48,2.48,2.46,7066600.0,17448608.0,2.137333
121,2023-02-14,2.48,2.46,2.49,2.45,10148600.0,25089368.0,2.137333
122,2023-02-15,2.5,2.49,2.56,2.49,10104498.0,25318317.0,2.137333
123,2023-02-16,2.49,2.56,2.61,2.49,30601116.0,78607269.0,2.137333
124,2023-02-17,2.56,2.61,2.67,2.53,20806000.0,54280362.0,2.137333
125,2023-02-20,2.64,2.59,2.67,2.55,18620100.0,48577827.0,2.137333
126,2023-02-21,2.59,2.55,2.62,2.53,16027867.0,41137965.0,2.137333
127,2023-02-22,2.55,2.56,2.59,2.54,8013500.0,20552799.0,2.137333
128,2023-02-23,2.56,2.6,2.6,2.56,8154700.0,21078945.0,2.137333
129,2023-02-24,2.6,2.59,2.63,2.57,7983941.0,20704607.0,2.137333
130,2023-02-27,2.59,2.63,2.65,2.59,13143632.0,34524442.0,2.137333
131,2023-02-28,2.63,2.64,2.67,2.63,13494067.0,35745597.0,2.137333
132,2023-03-01,2.64,2.69,2.72,2.63,14786858.0,39569831.0,2.137333
133,2023-03-02,2.69,2.79,2.82,2.69,28758176.0,79993573.0,2.137333
134,2023-03-03,2.77,2.75,2.81,2.72,20943500.0,57625127.0,2.137333
135,2023-03-06,2.77,2.77,2.8,2.74,11208944.0,31038062.0,2.137333
136,2023-03-07,2.77,2.73,2.77,2.7,17659567.0,48121279.0,2.137333
137,2023-03-08,2.72,2.77,2.78,2.7,11592000.0,31833263.0,2.137333
138,2023-03-09,2.77,2.74,2.79,2.72,11985800.0,32871956.0,2.137333
139,2023-03-10,2.74,2.74,2.77,2.72,6896501.0,18908352.0,2.137333
140,2023-03-13,2.72,2.71,2.74,2.69,11168000.0,30307223.0,2.137333
141,2023-03-14,2.69,2.64,2.71,2.61,16643526.0,44121821.0,2.137333
142,2023-03-15,2.65,2.66,2.68,2.64,5541200.0,14761971.0,2.137333
143,2023-03-16,2.64,2.67,2.69,2.64,7339167.0,19605048.0,2.137333
144,2023-03-17,2.66,2.62,2.7,2.61,10015600.0,26574375.0,2.137333
145,2023-03-20,2.65,2.68,2.68,2.62,9719407.0,25778943.0,2.137333
146,2023-03-21,2.68,2.66,2.7,2.64,4928868.0,13152068.0,2.137333
147,2023-03-22,2.67,2.71,2.73,2.67,7823299.0,21119955.0,2.137333
148,2023-03-23,2.71,2.69,2.71,2.68,5493400.0,14807397.0,2.137333
149,2023-03-24,2.69,2.69,2.7,2.67,5236873.0,14063040.0,2.137333
150,2023-03-27,2.69,2.66,2.69,2.66,5278200.0,14098095.0,2.137333
151,2023-03-28,2.68,2.65,2.68,2.64,5029100.0,13340856.0,2.137333
152,2023-03-29,2.66,2.65,2.66,2.63,4302800.0,11369976.0,2.137333
153,2023-03-30,2.64,2.64,2.66,2.63,4491824.0,11894782.0,2.137333
154,2023-03-31,2.65,2.67,2.67,2.64,3673500.0,9748806.0,2.137333
155,2023-04-03,2.67,2.67,2.7,2.66,4308402.0,11548146.0,2.137333
156,2023-04-04,2.67,2.7,2.71,2.66,9073452.0,24393973.0,2.137333
157,2023-04-06,2.7,2.7,2.73,2.68,5354400.0,14465621.0,2.137333
158,2023-04-07,2.7,2.67,2.7,2.65,7505400.0,20070781.0,2.137333
159,2023-04-10,2.67,2.72,2.74,2.66,7913600.0,21393722.0,2.137333
160,2023-04-11,2.72,2.7,2.72,2.69,4546000.0,12282468.0,2.137333
161,2023-04-12,2.71,2.7,2.71,2.69,5222200.0,14080418.0,2.137333
162,2023-04-13,2.7,2.57,2.7,2.57,16853900.0,43797024.0,2.137333
