,date,open,close,high,low,volume,money,factor
0,2022-08-12,59.0,57.69,59.6,57.43,10806306.0,631069891.0,1.003131
1,2022-08-15,57.18,57.84,58.56,57.01,6665158.0,384826105.0,1.003131
2,2022-08-16,57.7,56.53,58.48,56.08,6217145.0,353858991.0,1.003131
3,2022-08-17,57.32,58.04,59.55,56.2,9253037.0,538217631.0,1.003131
4,2022-08-18,57.2,57.53,58.49,56.59,7383629.0,424075331.0,1.003131
5,2022-08-19,57.54,57.53,59.23,57.09,6371411.0,368981766.0,1.003131
6,2022-08-22,56.41,54.74,57.39,54.12,11717975.0,648106458.0,1.003131
7,2022-08-23,54.26,54.47,55.6,53.0,10227290.0,554697345.0,1.003131
8,2022-08-24,53.94,53.6,57.26,53.52,9808139.0,540772998.0,1.003131
9,2022-08-25,53.5,53.96,55.25,52.22,8295439.0,445525736.0,1.003131
10,2022-08-26,54.28,51.91,54.4,51.55,6485466.0,341149393.0,1.003131
11,2022-08-29,50.94,52.62,52.85,50.61,3946146.0,205901311.0,1.003131
12,2022-08-30,52.51,51.75,53.04,51.13,4536709.0,234849967.0,1.003131
13,2022-08-31,51.57,50.29,52.52,49.89,7260861.0,369429609.0,1.003131
14,2022-09-01,50.23,49.65,51.48,49.49,4158882.0,209479092.0,1.003131
15,2022-09-02,49.9,49.99,50.44,49.6,3852440.0,192519515.0,1.003131
16,2022-09-05,49.6,49.15,50.01,48.5,4281254.0,210110457.0,1.003131
17,2022-09-06,49.3,49.91,50.02,48.8,5312300.0,262651469.0,1.003131
18,2022-09-07,49.23,49.74,50.49,49.0,4507169.0,224482689.0,1.003131
19,2022-09-08,50.0,50.26,51.47,50.0,6590145.0,334030404.0,1.003131
20,2022-09-09,50.33,51.74,52.6,50.01,8954085.0,463891426.0,1.003131
21,2022-09-13,51.5,52.07,53.14,51.5,6566398.0,343358393.0,1.003131
22,2022-09-14,50.99,50.93,51.47,50.2,4991200.0,253291619.0,1.003131
23,2022-09-15,51.01,50.3,52.9,49.83,7777033.0,398199194.0,1.003131
24,2022-09-16,49.8,44.75,49.99,44.45,14839571.0,681886809.0,1.003131
25,2022-09-19,44.95,46.09,46.5,44.44,9431749.0,432734202.0,1.003131
26,2022-09-20,46.07,45.53,46.52,45.22,4832728.0,220028368.0,1.003131
27,2022-09-21,45.01,45.63,46.1,44.71,4061009.0,184600508.0,1.003131
28,2022-09-22,45.64,45.1,45.98,45.0,3215934.0,146107642.0,1.003131
29,2022-09-23,44.72,44.3,45.67,43.91,3884878.0,173786462.0,1.003131
30,2022-09-26,44.0,44.11,45.15,43.88,4243836.0,188991144.0,1.003131
31,2022-09-27,44.35,46.11,46.15,44.35,5603325.0,254322881.0,1.003131
32,2022-09-28,45.81,44.48,46.27,44.45,3669669.0,166201904.0,1.003131
33,2022-09-29,45.35,43.78,45.56,43.41,3838100.0,170260681.0,1.003131
34,2022-09-30,44.0,43.16,44.49,43.16,3071200.0,134532697.0,1.003131
35,2022-10-10,43.27,41.92,43.68,41.64,4516213.0,191936384.0,1.003131
36,2022-10-11,42.15,42.22,43.18,41.14,4175700.0,176127178.0,1.003131
37,2022-10-12,42.0,44.02,44.11,41.55,4932700.0,212399873.0,1.003131
38,2022-10-13,43.5,43.69,44.33,43.31,4187490.0,183927165.0,1.003131
39,2022-10-14,44.39,45.25,45.43,44.05,6664067.0,299728099.0,1.003131
40,2022-10-17,44.76,45.53,46.16,44.54,4654705.0,211204155.0,1.003131
41,2022-10-18,45.47,46.08,46.9,45.04,5074971.0,233217744.0,1.003131
42,2022-10-19,45.99,45.2,46.15,45.12,3616050.0,164509806.0,1.003131
43,2022-10-20,44.85,46.18,47.28,44.85,5023505.0,230967859.0,1.003131
44,2022-10-21,48.0,46.02,48.6,46.0,8177163.0,384046026.0,1.003131
45,2022-10-24,45.98,46.52,48.8,45.98,9815925.0,466935638.0,1.003131
46,2022-10-25,46.46,43.35,46.52,42.39,11181583.0,487722509.0,1.003131
47,2022-10-26,44.03,44.86,45.49,43.38,9940144.0,443893391.0,1.003131
48,2022-10-27,44.84,46.5,47.7,44.3,10760519.0,500201634.0,1.003131
49,2022-10-28,45.99,43.86,46.2,43.5,7141988.0,321663555.0,1.003131
50,2022-10-31,43.33,44.37,45.48,43.31,6435123.0,285904118.0,1.003131
51,2022-11-01,44.4,45.53,45.93,43.93,8728527.0,392011590.0,1.003131
52,2022-11-02,44.74,45.87,46.39,44.36,9313571.0,422521238.0,1.003131
