,date,open,close,high,low,volume,money,factor
0,2022-08-12,2.96,2.91,3.0,2.9,112943133.0,331918076.0,6.565
1,2022-08-15,2.89,2.95,3.02,2.83,120098126.0,353042040.0,6.565
2,2022-08-16,2.9,3.07,3.22,2.88,182485213.0,552149661.0,6.565
3,2022-08-17,3.05,3.01,3.11,2.98,112113165.0,340050500.0,6.565
4,2022-08-18,3.01,2.95,3.03,2.93,72633188.0,215380390.0,6.565
5,2022-08-19,2.97,2.92,3.02,2.92,74101245.0,219576481.0,6.565
6,2022-08-22,2.9,2.87,2.96,2.87,63933071.0,185028332.0,6.565
7,2022-08-23,2.71,2.77,2.81,2.66,93897336.0,257623121.0,6.565
8,2022-08-24,2.78,2.68,2.79,2.68,66784611.0,182018410.0,6.565
9,2022-08-25,2.69,2.72,2.81,2.65,64844361.0,176693927.0,6.565
10,2022-08-26,2.72,2.67,2.75,2.67,36652666.0,99187983.0,6.565
11,2022-08-29,2.63,2.8,2.88,2.63,88474804.0,248281044.0,6.565
12,2022-08-30,2.85,2.77,2.87,2.77,43048667.0,120473890.0,6.565
13,2022-08-31,2.8,2.78,2.9,2.78,67957480.0,192371893.0,6.565
14,2022-09-01,2.8,2.75,2.81,2.74,47738821.0,132680893.0,6.565
15,2022-09-02,2.75,2.84,2.87,2.74,57000459.0,160510269.0,6.565
16,2022-09-05,2.86,2.84,2.86,2.79,37630909.0,105973442.0,6.565
17,2022-09-06,2.83,2.85,2.86,2.81,38143636.0,108174159.0,6.565
18,2022-09-07,2.84,2.81,2.84,2.8,30633638.0,86204201.0,6.565
19,2022-09-08,2.81,2.78,2.83,2.76,29813333.0,82962579.0,6.565
20,2022-09-09,2.77,2.81,2.88,2.73,50876440.0,142870519.0,6.565
21,2022-09-13,2.83,2.87,2.9,2.81,60016640.0,171780748.0,6.565
22,2022-09-14,2.82,2.89,2.93,2.8,56696059.0,162312866.0,6.565
23,2022-09-15,2.89,2.75,2.9,2.73,61353321.0,171290635.0,6.565
24,2022-09-16,2.78,2.66,2.8,2.66,37256267.0,101226387.0,6.565
25,2022-09-19,2.66,2.6,2.69,2.6,30220981.0,79440896.0,6.565
26,2022-09-20,2.61,2.65,2.67,2.61,25945851.0,68679404.0,6.565
27,2022-09-21,2.64,2.73,2.78,2.58,64050919.0,172882750.0,6.565
28,2022-09-22,2.7,2.89,3.0,2.67,162787383.0,467748518.0,6.565
29,2022-09-23,2.89,2.78,2.93,2.77,106471025.0,300578743.0,6.565
30,2022-09-26,2.75,2.62,2.78,2.62,67316816.0,180514309.0,6.565
31,2022-09-27,2.61,2.66,2.66,2.56,48696688.0,127305217.0,6.565
32,2022-09-28,2.64,2.52,2.65,2.51,43795261.0,112686319.0,6.565
33,2022-09-29,2.54,2.49,2.58,2.48,40678964.0,103017299.0,6.565
34,2022-09-30,2.5,2.46,2.54,2.45,26900924.0,66914721.0,6.565
35,2022-10-10,2.47,2.45,2.55,2.43,29789150.0,74167302.0,6.565
36,2022-10-11,2.44,2.46,2.49,2.39,23403669.0,57159442.0,6.565
37,2022-10-12,2.45,2.61,2.62,2.45,60862804.0,154763250.0,6.565
38,2022-10-13,2.58,2.64,2.68,2.55,59005533.0,154007007.0,6.565
39,2022-10-14,2.63,2.81,2.9,2.62,207092483.0,587595910.0,6.565
40,2022-10-17,2.73,2.8,2.86,2.66,170070438.0,471978631.0,6.565
41,2022-10-18,2.83,2.8,2.84,2.76,51895532.0,145050070.0,6.565
42,2022-10-19,2.8,2.74,2.83,2.74,42153972.0,116908809.0,6.565
43,2022-10-20,2.76,2.74,2.79,2.72,45964777.0,126798361.0,6.565
44,2022-10-21,2.74,2.71,2.78,2.7,35529283.0,97070193.0,6.565
45,2022-10-24,2.72,2.66,2.72,2.64,48555500.0,130251536.0,6.565
46,2022-10-25,2.66,2.61,2.66,2.56,37399728.0,97429494.0,6.565
47,2022-10-26,2.63,2.64,2.67,2.61,37433202.0,98855901.0,6.565
48,2022-10-27,2.63,2.64,2.69,2.61,35112900.0,92962568.0,6.565
49,2022-10-28,2.61,2.51,2.62,2.5,44299295.0,112839247.0,6.565
50,2022-10-31,2.5,2.54,2.56,2.48,25342157.0,64191926.0,6.565
51,2022-11-01,2.55,2.59,2.59,2.53,33620071.0,86392575.0,6.565
52,2022-11-02,2.58,2.59,2.64,2.56,36026208.0,93809570.0,6.565
53,2022-11-03,2.56,2.6,2.62,2.56,35785626.0,92439322.0,6.565
54,2022-11-04,2.59,2.63,2.64,2.58,35908100.0,93925721.0,6.565
55,2022-11-07,2.63,2.66,2.67,2.62,34960986.0,92566187.0,6.565
56,2022-11-08,2.64,2.67,2.72,2.63,42229698.0,112507420.0,6.565
57,2022-11-09,2.67,2.66,2.71,2.65,25428523.0,67944766.0,6.565
58,2022-11-10,2.64,2.69,2.71,2.62,48608848.0,130690168.0,6.565
59,2022-11-11,2.73,2.78,2.81,2.7,80386282.0,221858957.0,6.565
60,2022-11-14,2.78,2.8,2.87,2.77,61950712.0,174748050.0,6.565
61,2022-11-15,2.83,2.89,2.91,2.8,72014422.0,207145240.0,6.565
62,2022-11-16,2.87,2.87,2.91,2.85,43465226.0,125149558.0,6.565
63,2022-11-17,2.85,2.87,2.89,2.82,43384563.0,123843198.0,6.565
64,2022-11-18,2.88,2.8,2.88,2.78,37826138.0,106746858.0,6.565
65,2022-11-21,2.79,2.74,2.79,2.73,29200244.0,80213961.0,6.565
