,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,000738,19.68,19.67,20.0,19.46,101825,201104834.4,2.71,-1.16,-0.23,0.77
1,2024-01-03,000738,19.65,19.42,19.78,19.37,67371,131352322.15,2.08,-1.27,-0.25,0.51
2,2024-01-04,000738,19.46,19.23,19.55,19.0,63082,121356686.0,2.83,-0.98,-0.19,0.48
3,2024-01-05,000738,19.28,19.0,19.28,18.74,68208,128995036.14,2.81,-1.2,-0.23,0.52
4,2024-01-08,000738,18.99,18.3,18.99,18.29,67432,125195522.25,3.68,-3.68,-0.7,0.51
5,2024-01-09,000738,18.29,17.93,18.39,17.78,75153,135462111.0,3.33,-2.02,-0.37,0.57
6,2024-01-10,000738,17.96,17.98,18.35,17.66,55303,99692007.66,3.85,0.28,0.05,0.42
7,2024-01-11,000738,17.96,18.27,18.35,17.96,51071,92777090.9,2.17,1.61,0.29,0.39
8,2024-01-12,000738,18.23,18.38,18.39,18.06,50172,91307673.4,1.81,0.6,0.11,0.38
9,2024-01-15,000738,18.18,17.34,18.18,17.28,127173,223488293.77,4.9,-5.66,-1.04,0.97
10,2024-01-16,000738,17.29,17.22,17.49,16.97,97643,167951005.92,3.0,-0.69,-0.12,0.74
11,2024-01-17,000738,17.21,16.78,17.27,16.77,55749,94940810.57,2.9,-2.56,-0.44,0.42
12,2024-01-18,000738,16.75,16.91,17.03,16.24,104082,171979757.03,4.71,0.77,0.13,0.79
13,2024-01-19,000738,16.85,16.58,16.93,16.58,52889,88443344.14,2.07,-1.95,-0.33,0.4
14,2024-01-22,000738,16.57,15.83,16.67,15.67,84107,136062891.44,6.03,-4.52,-0.75,0.64
15,2024-01-23,000738,15.75,15.93,15.98,15.47,98975,156041014.2,3.22,0.63,0.1,0.75
16,2024-01-24,000738,16.09,16.1,16.15,15.44,122964,193640737.35,4.46,1.07,0.17,0.93
17,2024-01-25,000738,16.13,16.85,16.86,15.96,100185,165839172.72,5.59,4.66,0.75,0.76
18,2024-01-26,000738,16.74,16.55,17.0,16.48,94355,157273958.29,3.09,-1.78,-0.3,0.72
19,2024-01-29,000738,16.58,16.38,16.81,16.38,72060,119162523.54,2.6,-1.03,-0.17,0.55
20,2024-01-30,000738,16.38,15.89,16.5,15.86,87433,141873099.4,3.91,-2.99,-0.49,0.66
21,2024-01-31,000738,15.73,15.18,15.9,15.08,95708,147694295.51,5.16,-4.47,-0.71,0.73
22,2024-02-01,000738,15.08,15.01,15.32,14.84,83262,125639046.35,3.16,-1.12,-0.17,0.63
23,2024-02-02,000738,15.0,14.24,15.15,13.78,138153,198992412.36,9.13,-5.13,-0.77,1.05
24,2024-02-05,000738,14.12,13.91,14.59,13.13,185539,257231505.56,10.25,-2.32,-0.33,1.41
25,2024-02-06,000738,13.88,15.17,15.25,13.79,167122,244396519.96,10.5,9.06,1.26,1.27
26,2024-02-07,000738,15.2,16.38,16.39,15.17,209706,336496265.47,8.04,7.98,1.21,1.59
27,2024-02-08,000738,16.45,16.45,17.08,16.31,197320,330734343.08,4.7,0.43,0.07,1.5
28,2024-02-19,000738,16.6,16.24,16.6,15.95,133479,216027020.99,3.95,-1.28,-0.21,1.01
29,2024-02-20,000738,16.05,16.24,16.3,15.91,77466,125012050.64,2.4,0.0,0.0,0.59
30,2024-02-21,000738,16.2,16.24,16.72,16.05,124426,204717218.2,4.13,0.0,0.0,0.95
31,2024-02-22,000738,16.27,16.43,16.45,16.18,85846,140289662.27,1.66,1.17,0.19,0.65
32,2024-02-23,000738,16.51,16.66,16.68,16.24,102439,168762585.92,2.68,1.4,0.23,0.78
33,2024-02-26,000738,16.66,16.89,17.08,16.64,107512,181122957.85,2.64,1.38,0.23,0.82
34,2024-02-27,000738,16.78,17.27,17.28,16.67,91554,155926309.58,3.61,2.25,0.38,0.7
35,2024-02-28,000738,17.25,16.83,17.56,16.81,156919,270851121.11,4.34,-2.55,-0.44,1.19
36,2024-02-29,000738,16.86,17.69,17.7,16.85,145644,253801842.1,5.05,5.11,0.86,1.11
37,2024-03-01,000738,17.66,17.75,17.85,17.49,90152,159469800.71,2.04,0.34,0.06,0.69
38,2024-03-04,000738,17.73,17.7,17.85,17.51,73972,130812126.65,1.92,-0.28,-0.05,0.56
39,2024-03-05,000738,17.69,17.73,18.15,17.6,121355,216930212.91,3.11,0.17,0.03,0.92
40,2024-03-06,000738,17.73,17.61,17.93,17.4,75813,133586004.31,2.99,-0.68,-0.12,0.58
41,2024-03-07,000738,17.6,17.11,17.74,17.11,80556,140119136.33,3.58,-2.84,-0.5,0.61
42,2024-03-08,000738,17.2,17.44,17.47,16.96,94052,161430661.44,2.98,1.93,0.33,0.72
43,2024-03-11,000738,17.42,17.84,17.85,17.21,73447,128987664.19,3.67,2.29,0.4,0.56
44,2024-03-12,000738,17.83,18.24,18.35,17.81,121572,220719409.95,3.03,2.24,0.4,0.92
45,2024-03-13,000738,18.27,18.31,18.56,18.06,116451,213399307.67,2.74,0.38,0.07,0.89
46,2024-03-14,000738,18.28,17.88,18.28,17.68,79849,143291202.67,3.28,-2.35,-0.43,0.61
47,2024-03-15,000738,17.8,18.04,18.13,17.73,89162,159709284.6,2.24,0.89,0.16,0.68
48,2024-03-18,000738,18.05,18.84,18.84,18.04,143052,265254481.82,4.43,4.43,0.8,1.09
49,2024-03-19,000738,18.78,18.88,19.24,18.65,118140,224166735.17,3.13,0.21,0.04,0.9
50,2024-03-20,000738,18.88,18.83,19.08,18.68,78647,148203923.85,2.12,-0.26,-0.05,0.6
51,2024-03-21,000738,18.89,18.83,18.98,18.6,59384,111711042.85,2.02,0.0,0.0,0.45
52,2024-03-22,000738,18.79,18.4,18.85,18.36,59910,110781072.87,2.6,-2.28,-0.43,0.46
53,2024-03-25,000738,18.29,18.04,18.57,18.01,69638,127465494.44,3.04,-1.96,-0.36,0.53
54,2024-03-26,000738,18.05,17.8,18.09,17.61,64178,114589245.36,2.66,-1.33,-0.24,0.49
55,2024-03-27,000738,17.83,17.22,17.9,17.18,76674,134042661.12,4.04,-3.26,-0.58,0.58
56,2024-03-28,000738,17.26,18.15,18.39,17.21,122249,219632855.84,6.85,5.4,0.93,0.93
57,2024-03-29,000738,18.15,18.52,18.52,18.01,85650,156715269.82,2.81,2.04,0.37,0.65
58,2024-04-01,000738,18.52,18.18,18.6,18.02,112324,204664026.08,3.13,-1.84,-0.34,0.85
59,2024-04-02,000738,18.08,18.07,18.24,17.74,83527,150398659.94,2.75,-0.61,-0.11,0.64
60,2024-04-03,000738,17.95,17.86,18.05,17.74,55359,99051539.16,1.72,-1.16,-0.21,0.42
61,2024-04-08,000738,17.75,17.58,17.95,17.5,76074,134975113.53,2.52,-1.57,-0.28,0.58
62,2024-04-09,000738,17.57,17.66,17.82,17.5,51818,91599605.55,1.82,0.46,0.08,0.39
63,2024-04-10,000738,17.6,17.69,17.83,17.35,65599,115139137.0,2.72,0.17,0.03,0.5
64,2024-04-11,000738,17.57,17.83,18.3,17.51,73620,131550639.15,4.47,0.79,0.14,0.56
65,2024-04-12,000738,17.8,17.83,18.28,17.72,87159,156819568.14,3.14,0.0,0.0,0.66
66,2024-04-15,000738,17.8,18.49,18.75,17.76,142117,261542522.38,5.55,3.7,0.66,1.08
67,2024-04-16,000738,18.41,17.54,18.51,17.52,118490,213323859.19,5.35,-5.14,-0.95,0.9
68,2024-04-17,000738,17.63,18.2,18.22,17.6,99917,179446313.04,3.53,3.76,0.66,0.76
69,2024-04-18,000738,18.13,18.35,18.5,17.95,116921,213732216.97,3.02,0.82,0.15,0.89
70,2024-04-19,000738,18.3,18.54,18.88,18.21,140407,261188181.16,3.65,1.04,0.19,1.07
71,2024-04-22,000738,18.55,19.08,19.18,18.08,259833,490339887.41,5.93,2.91,0.54,1.98
72,2024-04-23,000738,18.92,18.46,18.95,18.35,145351,271198324.01,3.14,-3.25,-0.62,1.11
73,2024-04-24,000738,18.4,18.91,18.91,18.36,126098,236501981.19,2.98,2.44,0.45,0.96
74,2024-04-25,000738,18.88,18.72,18.88,18.45,92269,171598324.13,2.27,-1.0,-0.19,0.7
75,2024-04-26,000738,18.9,19.21,19.37,18.72,172112,330141775.45,3.47,2.62,0.49,1.31
76,2024-04-29,000738,19.3,19.82,20.0,19.2,192635,377434854.88,4.16,3.18,0.61,1.46
77,2024-04-30,000738,19.83,19.56,19.96,19.52,105705,208143458.36,2.22,-1.31,-0.26,0.8
78,2024-05-06,000738,19.71,19.5,19.91,19.45,107388,211017512.66,2.35,-0.31,-0.06,0.82
79,2024-05-07,000738,19.52,20.0,20.1,19.41,141717,282568733.36,3.54,2.56,0.5,1.08
80,2024-05-08,000738,19.9,20.31,20.46,19.72,141393,284823135.44,3.7,1.55,0.31,1.08
81,2024-05-09,000738,20.23,20.97,21.06,20.15,192058,398877147.2,4.48,3.25,0.66,1.46
82,2024-05-10,000738,20.95,20.8,21.33,20.67,163126,342278019.11,3.15,-0.81,-0.17,1.24
83,2024-05-13,000738,20.55,20.77,21.15,20.25,116763,242094405.49,4.33,-0.14,-0.03,0.89
84,2024-05-14,000738,20.67,20.5,20.81,20.4,85422,175495984.74,1.97,-1.3,-0.27,0.65
85,2024-05-15,000738,20.41,20.15,20.62,20.13,83546,169774943.97,2.39,-1.71,-0.35,0.64
86,2024-05-16,000738,20.15,20.11,20.45,19.93,105921,213142297.84,2.58,-0.2,-0.04,0.81
87,2024-05-17,000738,20.08,20.66,20.77,20.05,96096,196563049.12,3.58,2.73,0.55,0.73
88,2024-05-20,000738,20.7,20.9,21.24,20.61,121446,253540882.34,3.05,1.16,0.24,0.92
89,2024-05-21,000738,20.72,20.56,20.84,20.45,78085,160804364.17,1.87,-1.63,-0.34,0.59
90,2024-05-22,000738,20.5,20.41,20.65,20.19,73034,148856445.77,2.24,-0.73,-0.15,0.56
91,2024-05-23,000738,20.45,20.16,20.58,20.1,66824,135609859.67,2.35,-1.22,-0.25,0.51
92,2024-05-24,000738,20.02,19.72,20.12,19.68,79551,157908200.27,2.18,-2.18,-0.44,0.6
93,2024-05-27,000738,19.61,19.8,19.85,19.47,72987,143456548.07,1.93,0.41,0.08,0.55
94,2024-05-28,000738,19.73,19.92,20.17,19.55,67351,133854198.36,3.13,0.61,0.12,0.51
95,2024-05-29,000738,19.93,19.67,20.05,19.56,45750,90324187.06,2.46,-1.26,-0.25,0.35
96,2024-05-30,000738,19.53,20.11,20.53,19.45,98201,197897015.34,5.49,2.24,0.44,0.75
97,2024-05-31,000738,20.3,20.5,20.88,20.15,114994,236481468.38,3.63,1.94,0.39,0.87
98,2024-06-03,000738,20.58,20.5,20.88,20.3,110184,226612513.46,2.83,0.0,0.0,0.84
99,2024-06-04,000738,20.51,20.87,20.9,20.4,119947,248251493.0,2.44,1.8,0.37,0.91
100,2024-06-05,000738,20.87,21.11,21.38,20.77,151385,320852303.48,2.92,1.15,0.24,1.15
101,2024-06-06,000738,21.11,20.74,21.18,20.62,109976,229449054.0,2.65,-1.75,-0.37,0.84
102,2024-06-07,000738,20.78,20.5,20.97,20.33,88878,183289422.0,3.09,-1.16,-0.24,0.68
103,2024-06-11,000738,20.41,20.54,20.7,20.21,92725,190116134.0,2.39,0.2,0.04,0.71
104,2024-06-12,000738,20.47,20.76,21.13,20.41,103159,214917955.73,3.51,1.07,0.22,0.78
105,2024-06-13,000738,20.76,20.71,20.93,20.44,84851,175445490.39,2.36,-0.24,-0.05,0.65
106,2024-06-14,000738,20.59,20.51,20.85,20.33,151984,312826434.39,2.51,-0.97,-0.2,1.16
107,2024-06-17,000738,20.4,20.81,20.97,20.4,112232,233117299.21,2.78,1.46,0.3,0.85
108,2024-06-18,000738,20.68,21.1,21.26,20.68,101210,212842969.7,2.79,1.39,0.29,0.77
109,2024-06-19,000738,21.08,20.75,21.17,20.68,67609,140847185.67,2.32,-1.66,-0.35,0.51
110,2024-06-20,000738,20.66,20.15,20.78,20.13,69855,142252387.12,3.13,-2.89,-0.6,0.53
111,2024-06-21,000738,20.07,20.08,20.58,20.07,67577,136851868.95,2.53,-0.35,-0.07,0.51
112,2024-06-24,000738,20.17,19.77,20.28,19.73,73442,146575103.79,2.74,-1.54,-0.31,0.56
113,2024-06-25,000738,19.83,19.69,19.94,19.47,65475,128682030.26,2.38,-0.4,-0.08,0.5
114,2024-06-26,000738,19.58,19.93,19.96,19.39,61442,120854846.17,2.89,1.22,0.24,0.47
115,2024-06-27,000738,19.88,19.43,19.98,19.41,53965,105700114.7,2.86,-2.51,-0.5,0.41
116,2024-06-28,000738,19.36,20.07,20.25,19.26,93706,187241055.0,5.1,3.29,0.64,0.71
117,2024-07-01,000738,20.02,19.97,20.24,19.68,59589,118740010.52,2.79,-0.5,-0.1,0.45
118,2024-07-02,000738,20.0,19.82,20.08,19.78,48093,95740497.0,1.5,-0.75,-0.15,0.37
119,2024-07-03,000738,19.7,19.43,19.95,19.38,40569,79277452.41,2.88,-1.97,-0.39,0.31
120,2024-07-04,000738,19.45,19.37,19.81,19.33,53497,104693368.91,2.47,-0.31,-0.06,0.41
121,2024-07-05,000738,19.33,19.64,19.67,18.95,55235,107083643.98,3.72,1.39,0.27,0.42
122,2024-07-08,000738,19.47,19.42,19.72,19.3,46315,90097086.32,2.14,-1.12,-0.22,0.35
123,2024-07-09,000738,19.33,19.42,19.68,19.1,66551,128835946.34,2.99,0.0,0.0,0.51
124,2024-07-10,000738,19.41,19.49,19.62,19.26,46057,89735533.55,1.85,0.36,0.07,0.35
125,2024-07-11,000738,19.66,19.75,19.84,19.43,69419,136747392.81,2.1,1.33,0.26,0.53
126,2024-07-12,000738,19.76,19.62,19.78,19.5,59229,116145491.82,1.42,-0.66,-0.13,0.45
127,2024-07-15,000738,19.62,19.36,19.78,19.33,56184,109491678.2,2.29,-1.33,-0.26,0.43
128,2024-07-16,000738,19.25,19.64,19.71,19.2,53505,104478268.1,2.63,1.45,0.28,0.41
