,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,002599,6.71,6.62,6.75,6.61,93366,62172202.0,2.1,-0.75,-0.05,2.32
1,2024-01-03,002599,6.65,6.79,6.92,6.6,222634,151128602.61,4.83,2.57,0.17,5.54
2,2024-01-04,002599,6.67,7.09,7.46,6.65,476369,337634536.66,11.93,4.42,0.3,11.85
3,2024-01-05,002599,6.93,7.36,7.59,6.9,669424,488159614.51,9.73,3.81,0.27,16.65
4,2024-01-08,002599,7.28,7.05,7.37,7.04,394853,283410843.81,4.48,-4.21,-0.31,9.82
5,2024-01-09,002599,7.04,6.88,7.23,6.6,394817,274170593.15,8.94,-2.41,-0.17,9.82
6,2024-01-10,002599,6.77,6.53,6.8,6.47,248344,163686717.68,4.8,-5.09,-0.35,6.18
7,2024-01-11,002599,6.51,7.18,7.18,6.51,164988,117795680.0,10.26,9.95,0.65,4.1
8,2024-01-12,002599,7.6,7.1,7.61,7.08,695589,512085075.26,7.38,-1.11,-0.08,17.3
9,2024-01-15,002599,7.05,7.12,7.31,7.05,364577,259997656.91,3.66,0.28,0.02,9.07
10,2024-01-16,002599,7.09,6.93,7.12,6.8,277393,191766523.17,4.49,-2.67,-0.19,6.9
11,2024-01-17,002599,6.97,6.72,6.97,6.7,186737,126825780.16,3.9,-3.03,-0.21,4.65
12,2024-01-18,002599,6.56,6.45,6.71,6.3,269399,173444533.22,6.1,-4.02,-0.27,6.7
13,2024-01-19,002599,6.45,6.31,6.7,6.31,193146,124627106.36,6.05,-2.17,-0.14,4.8
14,2024-01-22,002599,6.38,5.77,6.38,5.68,230501,138583879.0,11.09,-8.56,-0.54,5.73
15,2024-01-23,002599,5.75,5.67,5.82,5.58,182337,103232404.44,4.16,-1.73,-0.1,4.54
16,2024-01-24,002599,5.68,5.69,5.76,5.45,164927,92742046.4,5.47,0.35,0.02,4.1
17,2024-01-25,002599,5.7,5.88,5.89,5.61,204882,117801378.64,4.92,3.34,0.19,5.1
18,2024-01-26,002599,5.87,5.85,5.99,5.81,154644,91136284.0,3.06,-0.51,-0.03,3.85
19,2024-01-29,002599,5.84,5.5,5.88,5.5,148835,83665357.0,6.5,-5.98,-0.35,3.7
20,2024-01-30,002599,5.49,5.27,5.52,5.27,106992,57493746.16,4.55,-4.18,-0.23,2.66
21,2024-01-31,002599,5.32,4.96,5.4,4.96,158857,81891916.0,8.35,-5.88,-0.31,3.95
22,2024-02-01,002599,4.97,4.93,5.05,4.8,142821,70584624.6,5.04,-0.6,-0.03,3.55
23,2024-02-02,002599,5.01,4.81,5.11,4.5,168737,81252302.84,12.37,-2.43,-0.12,4.2
24,2024-02-05,002599,4.77,4.33,4.77,4.33,176857,77354685.64,9.15,-9.98,-0.48,4.4
25,2024-02-06,002599,4.1,4.23,4.44,3.9,245428,100428271.3,12.47,-2.31,-0.1,6.11
26,2024-02-07,002599,4.29,4.05,4.35,3.98,203256,84583024.2,8.75,-4.26,-0.18,5.06
