,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,603323,4.17,4.2,4.21,4.16,175908,73817317.0,1.2,0.96,0.04,1.14
1,2024-01-03,603323,4.19,4.21,4.23,4.18,162939,68567237.0,1.19,0.24,0.01,1.06
2,2024-01-04,603323,4.21,4.21,4.23,4.19,128952,54262388.0,0.95,0.0,0.0,0.84
3,2024-01-05,603323,4.22,4.25,4.32,4.2,311981,133191600.0,2.85,0.95,0.04,2.02
4,2024-01-08,603323,4.26,4.26,4.29,4.22,290209,123495352.0,1.65,0.24,0.01,1.88
5,2024-01-09,603323,4.27,4.29,4.3,4.22,203858,86987214.0,1.88,0.7,0.03,1.32
6,2024-01-10,603323,4.28,4.26,4.31,4.25,160626,68718005.0,1.4,-0.7,-0.03,1.04
7,2024-01-11,603323,4.25,4.3,4.33,4.24,160731,68940147.0,2.11,0.94,0.04,1.04
8,2024-01-12,603323,4.29,4.37,4.4,4.29,270902,118137211.0,2.56,1.63,0.07,1.75
9,2024-01-15,603323,4.36,4.4,4.41,4.34,268857,117939031.0,1.6,0.69,0.03,1.74
10,2024-01-16,603323,4.39,4.44,4.47,4.37,340316,150328553.0,2.27,0.91,0.04,2.2
11,2024-01-17,603323,4.44,4.38,4.47,4.37,196750,87194003.0,2.25,-1.35,-0.06,1.27
12,2024-01-18,603323,4.35,4.37,4.38,4.25,285627,123377529.0,2.97,-0.23,-0.01,1.85
13,2024-01-19,603323,4.38,4.34,4.4,4.29,205382,89293432.0,2.52,-0.69,-0.03,1.33
14,2024-01-22,603323,4.35,4.22,4.35,4.19,276946,118703657.0,3.69,-2.76,-0.12,1.79
15,2024-01-23,603323,4.2,4.26,4.28,4.17,308197,130164640.0,2.61,0.95,0.04,2.0
16,2024-01-24,603323,4.27,4.34,4.34,4.2,279614,119860679.0,3.29,1.88,0.08,1.81
17,2024-01-25,603323,4.32,4.38,4.39,4.31,334125,145330378.0,1.84,0.92,0.04,2.16
18,2024-01-26,603323,4.38,4.47,4.51,4.37,369678,164812548.0,3.2,2.05,0.09,2.39
19,2024-01-29,603323,4.49,4.42,4.52,4.41,371799,165729398.0,2.46,-1.12,-0.05,2.41
20,2024-01-30,603323,4.4,4.35,4.44,4.33,224459,98395571.0,2.49,-1.58,-0.07,1.45
21,2024-01-31,603323,4.34,4.3,4.39,4.27,263954,114058158.0,2.76,-1.15,-0.05,1.71
22,2024-02-01,603323,4.3,4.29,4.36,4.22,293290,125916359.0,3.26,-0.23,-0.01,1.9
23,2024-02-02,603323,4.27,4.18,4.32,4.1,339781,143552790.0,5.13,-2.56,-0.11,2.2
24,2024-02-05,603323,4.15,4.13,4.22,4.04,477097,196491106.0,4.31,-1.2,-0.05,3.09
25,2024-02-06,603323,4.1,4.27,4.31,4.09,406939,171092848.0,5.33,3.39,0.14,2.64
26,2024-02-07,603323,4.26,4.36,4.37,4.25,440301,190426193.0,2.81,2.11,0.09,2.85
27,2024-02-08,603323,4.36,4.34,4.43,4.31,457293,199164916.0,2.75,-0.46,-0.02,2.96
28,2024-02-19,603323,4.36,4.4,4.42,4.33,366259,160227882.0,2.07,1.38,0.06,2.37
29,2024-02-20,603323,4.38,4.42,4.44,4.36,251695,110739030.0,1.82,0.45,0.02,1.63
30,2024-02-21,603323,4.41,4.52,4.63,4.36,477324,216380942.0,6.11,2.26,0.1,3.09
31,2024-02-22,603323,4.51,4.58,4.58,4.47,253804,114914768.0,2.43,1.33,0.06,1.64
32,2024-02-23,603323,4.57,4.56,4.64,4.53,199313,91121631.0,2.4,-0.44,-0.02,1.29
33,2024-02-26,603323,4.56,4.46,4.56,4.44,246198,110525286.0,2.63,-2.19,-0.1,1.59
34,2024-02-27,603323,4.45,4.47,4.48,4.42,222778,99061002.0,1.35,0.22,0.01,1.44
35,2024-02-28,603323,4.46,4.42,4.51,4.42,245523,109736895.0,2.01,-1.12,-0.05,1.59
36,2024-02-29,603323,4.42,4.48,4.49,4.41,201167,89712091.0,1.81,1.36,0.06,1.3
37,2024-03-01,603323,4.48,4.48,4.5,4.43,201665,90155130.0,1.56,0.0,0.0,1.31
38,2024-03-04,603323,4.46,4.48,4.49,4.42,197979,88151844.0,1.56,0.0,0.0,1.28
39,2024-03-05,603323,4.46,4.51,4.52,4.45,173669,77877526.0,1.56,0.67,0.03,1.12
40,2024-03-06,603323,4.49,4.48,4.53,4.46,176207,79234418.0,1.55,-0.67,-0.03,1.14
41,2024-03-07,603323,4.47,4.48,4.51,4.46,158050,70944096.0,1.12,0.0,0.0,1.02
42,2024-03-08,603323,4.47,4.48,4.49,4.45,108071,48301279.0,0.89,0.0,0.0,0.7
43,2024-03-11,603323,4.48,4.47,4.49,4.44,136133,60743112.0,1.12,-0.22,-0.01,0.88
44,2024-03-12,603323,4.46,4.46,4.48,4.43,161415,71850387.0,1.12,-0.22,-0.01,1.05
45,2024-03-13,603323,4.45,4.41,4.45,4.41,147595,65321385.0,0.9,-1.12,-0.05,0.96
46,2024-03-14,603323,4.41,4.43,4.47,4.41,188774,83839703.0,1.36,0.45,0.02,1.22
47,2024-03-15,603323,4.44,4.47,4.5,4.43,184135,82314919.0,1.58,0.9,0.04,1.19
48,2024-03-18,603323,4.49,4.49,4.5,4.46,171383,76812553.0,0.89,0.45,0.02,1.11
49,2024-03-19,603323,4.49,4.45,4.5,4.44,144679,64578535.0,1.34,-0.89,-0.04,0.94
50,2024-03-20,603323,4.45,4.5,4.51,4.43,174154,78004906.0,1.8,1.12,0.05,1.13
51,2024-03-21,603323,4.5,4.56,4.56,4.49,183438,83104187.0,1.56,1.33,0.06,1.19
