,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,300800,13.69,13.81,13.89,13.62,13209,18220409.0,1.98,1.02,0.14,0.93
1,2024-01-03,300800,13.76,13.78,13.88,13.63,11328,15600471.0,1.81,-0.22,-0.03,0.8
2,2024-01-04,300800,13.81,13.77,13.83,13.68,9676,13289859.0,1.09,-0.07,-0.01,0.68
3,2024-01-05,300800,13.78,13.57,13.88,13.5,10058,13786524.0,2.76,-1.45,-0.2,0.71
4,2024-01-08,300800,13.5,13.35,13.66,13.34,11744,15836095.0,2.36,-1.62,-0.22,0.83
5,2024-01-09,300800,13.41,13.43,13.64,13.29,10622,14320338.0,2.62,0.6,0.08,0.75
6,2024-01-10,300800,13.58,13.29,13.59,13.19,10312,13811780.0,2.98,-1.04,-0.14,0.73
7,2024-01-11,300800,13.19,13.35,13.45,13.03,15064,19928571.0,3.16,0.45,0.06,1.06
8,2024-01-12,300800,13.36,13.34,13.63,13.33,12871,17318724.0,2.25,-0.07,-0.01,0.91
9,2024-01-15,300800,13.3,13.2,13.34,13.12,9692,12824086.0,1.65,-1.05,-0.14,0.68
10,2024-01-16,300800,13.19,13.13,13.35,12.96,10570,13861218.0,2.95,-0.53,-0.07,0.75
11,2024-01-17,300800,13.13,12.75,13.26,12.75,11589,15008289.0,3.88,-2.89,-0.38,0.82
12,2024-01-18,300800,12.75,12.45,12.79,12.07,24079,29760318.0,5.65,-2.35,-0.3,1.7
13,2024-01-19,300800,12.4,12.12,12.43,12.11,15665,19124430.0,2.57,-2.65,-0.33,1.11
14,2024-01-22,300800,12.11,11.17,12.27,11.14,21694,25172314.0,9.32,-7.84,-0.95,1.53
15,2024-01-23,300800,11.21,11.12,11.3,10.85,24234,26771227.0,4.03,-0.45,-0.05,1.71
16,2024-01-24,300800,11.18,11.31,11.37,10.8,23574,26160757.0,5.13,1.71,0.19,1.67
17,2024-01-25,300800,11.36,12.01,12.08,11.26,19487,22787600.0,7.25,6.19,0.7,1.38
18,2024-01-26,300800,11.99,11.96,12.17,11.9,12350,14841427.0,2.25,-0.42,-0.05,0.87
19,2024-01-29,300800,11.97,11.52,11.99,11.4,18757,21923872.0,4.93,-3.68,-0.44,1.33
20,2024-01-30,300800,11.94,11.05,11.94,10.98,16660,18737182.0,8.33,-4.08,-0.47,1.18
21,2024-01-31,300800,11.04,10.28,11.04,10.2,21098,22270192.0,7.6,-6.97,-0.77,1.49
22,2024-02-01,300800,10.11,9.91,10.27,9.6,27604,27271261.0,6.52,-3.6,-0.37,1.95
23,2024-02-02,300800,9.91,9.09,10.21,8.78,35670,33495400.0,14.43,-8.27,-0.82,2.52
24,2024-02-05,300800,9.0,7.93,9.1,7.53,53751,43231550.0,17.27,-12.76,-1.16,3.8
25,2024-02-06,300800,7.88,8.38,8.52,7.17,60913,47506707.0,17.02,5.67,0.45,4.31
26,2024-02-07,300800,8.3,7.93,8.51,7.81,52514,42337538.0,8.35,-5.37,-0.45,3.71
27,2024-02-08,300800,7.85,8.63,8.64,7.77,44529,36252770.0,10.97,8.83,0.7,3.15
28,2024-02-19,300800,8.75,8.91,9.27,8.72,39127,35080675.0,6.37,3.24,0.28,2.77
29,2024-02-20,300800,8.91,8.96,9.07,8.69,20417,18140233.0,4.26,0.56,0.05,1.44
30,2024-02-21,300800,8.94,9.19,9.4,8.77,25809,23676047.0,7.03,2.57,0.23,1.82
31,2024-02-22,300800,9.2,9.61,9.69,9.15,27083,25705099.0,5.88,4.57,0.42,1.91
32,2024-02-23,300800,9.65,9.84,9.9,9.58,26652,25955832.0,3.33,2.39,0.23,1.88
33,2024-02-26,300800,9.94,10.39,10.79,9.85,36555,37713044.0,9.55,5.59,0.55,2.58
34,2024-02-27,300800,10.36,10.56,10.65,10.06,29980,31211223.0,5.68,1.64,0.17,2.12
35,2024-02-28,300800,10.56,9.4,10.7,9.38,43933,43982240.0,12.5,-10.98,-1.16,3.1
36,2024-02-29,300800,9.32,9.69,9.69,9.21,36061,34277208.0,5.11,3.09,0.29,2.55
37,2024-03-01,300800,9.71,10.06,10.06,9.69,26420,26115137.0,3.82,3.82,0.37,1.87
38,2024-03-04,300800,10.06,9.85,10.17,9.62,26490,26140936.0,5.47,-2.09,-0.21,1.87
39,2024-03-05,300800,9.88,9.65,10.04,9.59,25854,25244497.0,4.57,-2.03,-0.2,1.83
40,2024-03-06,300800,9.64,9.69,9.91,9.55,19788,19235455.0,3.73,0.41,0.04,1.4
41,2024-03-07,300800,9.74,9.77,9.99,9.66,22497,22148097.0,3.41,0.83,0.08,1.59
42,2024-03-08,300800,9.71,9.9,9.91,9.64,15423,15098980.0,2.76,1.33,0.13,1.09
43,2024-03-11,300800,9.9,10.03,10.08,9.76,19337,19158549.0,3.23,1.31,0.13,1.37
44,2024-03-12,300800,10.17,10.15,10.25,9.86,22144,22284084.0,3.89,1.2,0.12,1.57
45,2024-03-13,300800,10.11,10.28,10.4,10.06,25683,26241253.0,3.35,1.28,0.13,1.82
46,2024-03-14,300800,10.28,10.27,10.39,10.13,20714,21299945.0,2.53,-0.1,-0.01,1.46
47,2024-03-15,300800,10.25,10.45,10.46,10.07,17120,17688552.0,3.8,1.75,0.18,1.21
48,2024-03-18,300800,10.66,11.1,11.13,10.57,42540,46357135.0,5.36,6.22,0.65,3.01
49,2024-03-19,300800,10.96,10.75,11.08,10.73,31226,33806612.0,3.15,-3.15,-0.35,2.21
50,2024-03-20,300800,10.7,10.82,10.87,10.68,20747,22366154.0,1.77,0.65,0.07,1.47
51,2024-03-21,300800,10.86,10.94,10.97,10.66,18299,19859842.0,2.87,1.11,0.12,1.29
52,2024-03-22,300800,10.88,10.63,10.94,10.53,18671,19920478.0,3.75,-2.83,-0.31,1.32
53,2024-03-25,300800,10.58,10.17,10.66,10.16,23504,24461007.0,4.7,-4.33,-0.46,1.66
54,2024-03-26,300800,10.2,10.17,10.31,10.01,17716,18019563.0,2.95,0.0,0.0,1.25
55,2024-03-27,300800,10.2,9.85,10.29,9.85,14877,14933762.0,4.33,-3.15,-0.32,1.05
56,2024-03-28,300800,9.81,10.27,10.36,9.81,17279,17602422.0,5.58,4.26,0.42,1.22
57,2024-03-29,300800,10.26,10.5,10.5,10.26,14760,15350409.0,2.34,2.24,0.23,1.04
58,2024-04-01,300800,10.54,10.87,10.87,10.5,21796,23198146.0,3.52,3.52,0.37,1.54
59,2024-04-02,300800,11.49,10.77,11.76,10.73,46743,51855010.0,9.48,-0.92,-0.1,3.3
60,2024-04-03,300800,10.85,10.72,10.9,10.47,29106,30995021.0,3.99,-0.46,-0.05,2.06
61,2024-04-08,300800,11.37,11.92,12.69,11.23,111183,133378009.0,13.62,11.19,1.2,7.86
62,2024-04-09,300800,11.18,11.13,11.38,10.7,108451,119058751.0,5.7,-6.63,-0.79,7.66
63,2024-04-10,300800,10.97,10.44,10.97,10.27,75622,79354961.0,6.29,-6.2,-0.69,5.34
64,2024-04-11,300800,10.74,11.24,11.9,10.73,102161,113740878.0,11.21,7.66,0.8,7.22
65,2024-04-12,300800,10.6,10.94,11.07,10.6,83316,90105035.0,4.18,-2.67,-0.3,5.89
66,2024-04-15,300800,10.86,10.46,10.98,10.03,59937,62532326.0,8.68,-4.39,-0.48,4.24
67,2024-04-16,300800,10.53,9.25,10.53,9.06,59596,56991845.0,14.05,-11.57,-1.21,4.21
68,2024-04-17,300800,9.43,9.81,9.87,9.4,55733,54060428.0,5.08,6.05,0.56,3.94
69,2024-04-18,300800,9.82,9.45,9.85,9.43,36345,35031085.0,4.28,-3.67,-0.36,2.57
70,2024-04-19,300800,9.42,9.52,9.79,9.36,32207,30828758.0,4.55,0.74,0.07,2.28
71,2024-04-22,300800,9.5,9.34,9.52,8.89,26841,24856879.0,6.62,-1.89,-0.18,1.9
72,2024-04-23,300800,9.47,9.62,9.73,9.39,26456,25410124.0,3.64,3.0,0.28,1.89
73,2024-04-24,300800,9.59,10.06,10.12,9.59,33870,33767376.0,5.51,4.57,0.44,2.41
74,2024-04-25,300800,10.06,10.1,10.22,9.88,21512,21729153.0,3.38,0.4,0.04,1.53
75,2024-04-26,300800,10.07,10.23,10.3,9.91,21757,22170624.0,3.86,1.29,0.13,1.55
76,2024-04-29,300800,10.25,10.46,10.48,10.19,17741,18384378.0,2.83,2.25,0.23,1.26
77,2024-04-30,300800,10.46,10.51,10.54,10.28,27296,28425001.0,2.49,0.48,0.05,1.95
78,2024-05-06,300800,10.58,10.63,10.76,10.52,22689,24143429.0,2.28,1.14,0.12,1.62
79,2024-05-07,300800,10.66,10.77,10.8,10.55,21746,23353458.0,2.35,1.32,0.14,1.55
80,2024-05-08,300800,10.76,10.62,10.84,10.57,17967,19209116.0,2.51,-1.39,-0.15,1.28
81,2024-05-09,300800,10.66,10.67,10.79,10.63,15921,17046412.0,1.51,0.47,0.05,0.68
82,2024-05-10,300800,10.67,10.54,10.8,10.49,21637,22959011.0,2.91,-1.22,-0.13,0.92
83,2024-05-13,300800,10.52,10.34,10.6,10.26,15032,15648439.0,3.23,-1.9,-0.2,0.64
84,2024-05-14,300800,10.45,10.66,10.74,10.39,20245,21408976.0,3.38,3.09,0.32,0.86
85,2024-05-15,300800,10.68,10.61,10.82,10.57,15467,16493933.0,2.35,-0.47,-0.05,0.66
86,2024-05-16,300800,10.6,10.68,10.84,10.54,17534,18738682.0,2.83,0.66,0.07,0.74
87,2024-05-17,300800,10.68,10.78,10.8,10.56,20383,21792989.0,2.25,0.94,0.1,0.86
88,2024-05-20,300800,10.8,10.94,11.07,10.78,24126,26408018.0,2.69,1.48,0.16,1.02
89,2024-05-21,300800,10.87,10.68,10.92,10.57,21055,22518405.0,3.2,-2.38,-0.26,0.89
90,2024-05-22,300800,10.71,10.69,10.76,10.6,14788,15822561.0,1.5,0.09,0.01,0.63
91,2024-05-23,300800,10.7,10.53,10.78,10.49,13118,13912043.0,2.71,-1.5,-0.16,0.56
92,2024-05-24,300800,10.51,10.43,10.63,10.3,14188,14903477.0,3.13,-0.95,-0.1,0.6
93,2024-05-27,300800,10.48,10.49,10.54,10.28,11802,12259868.0,2.49,0.58,0.06,0.5
94,2024-05-28,300800,10.42,10.42,10.54,10.3,10200,10650156.0,2.29,-0.67,-0.07,0.43
95,2024-05-29,300800,10.19,10.46,10.54,10.19,15005,15633941.0,3.36,0.38,0.04,0.64
96,2024-05-30,300800,10.7,10.49,11.15,10.41,53372,57275299.0,7.07,0.29,0.03,2.26
97,2024-05-31,300800,10.33,10.46,10.52,10.23,35272,36506353.0,2.76,-0.29,-0.03,1.5
98,2024-06-03,300800,10.46,10.26,10.6,10.2,28875,30000141.0,3.82,-1.91,-0.2,1.22
99,2024-06-04,300800,10.25,9.97,10.27,9.81,24664,24449921.0,4.48,-2.83,-0.29,1.05
100,2024-06-05,300800,9.91,9.7,9.96,9.69,16604,16227167.0,2.71,-2.71,-0.27,0.7
101,2024-06-06,300800,9.71,9.3,9.8,9.13,31026,28912575.0,6.91,-4.12,-0.4,1.32
102,2024-06-07,300800,9.31,9.66,9.71,9.31,19672,18887848.0,4.3,3.87,0.36,0.83
103,2024-06-11,300800,9.67,9.77,9.8,9.4,13230,12713797.0,4.14,1.14,0.11,0.56
104,2024-06-12,300800,9.77,9.99,10.0,9.69,11630,11538946.0,3.17,2.25,0.22,0.49
105,2024-06-13,300800,9.99,10.05,10.13,9.91,10383,10413350.0,2.2,0.6,0.06,0.44
106,2024-06-14,300800,9.9,10.02,10.12,9.87,9507,9536386.0,2.49,-0.3,-0.03,0.4
107,2024-06-17,300800,10.15,10.0,10.15,9.92,8681,8700868.0,2.3,-0.2,-0.02,0.37
108,2024-06-18,300800,10.03,10.29,10.29,9.88,17066,17376090.0,4.1,2.9,0.29,0.72
109,2024-06-19,300800,10.28,10.31,10.4,10.18,13174,13566291.0,2.14,0.19,0.02,0.56
110,2024-06-20,300800,10.33,10.07,10.43,10.04,12134,12359396.0,3.78,-2.33,-0.24,0.51
111,2024-06-21,300800,10.3,10.06,10.35,9.8,12438,12447322.0,5.46,-0.1,-0.01,0.53
112,2024-06-24,300800,10.03,9.59,10.04,9.54,17430,16922343.0,4.97,-4.67,-0.47,0.74
113,2024-06-25,300800,9.54,9.72,9.93,9.51,18274,17772467.0,4.38,1.36,0.13,0.78
114,2024-06-26,300800,9.69,10.28,10.32,9.57,24614,24537669.0,7.72,5.76,0.56,1.05
115,2024-06-27,300800,10.35,10.24,10.45,10.2,18450,19048469.0,2.43,-0.39,-0.04,0.79
116,2024-06-28,300800,10.38,10.36,10.48,10.12,19883,20582767.0,3.52,1.17,0.12,0.85
117,2024-07-01,300800,10.36,10.1,10.48,9.91,22349,22568032.0,5.5,-2.51,-0.26,0.95
118,2024-07-02,300800,10.1,10.17,10.29,10.03,13372,13611325.0,2.57,0.69,0.07,0.57
119,2024-07-03,300800,10.17,9.94,10.26,9.91,15893,15949305.0,3.44,-2.26,-0.23,0.68
120,2024-07-04,300800,9.95,9.64,10.02,9.56,14925,14488803.0,4.63,-3.02,-0.3,0.64
121,2024-07-05,300800,9.66,9.85,9.88,9.49,16201,15769240.0,4.05,2.18,0.21,0.69
122,2024-07-08,300800,9.7,9.61,9.81,9.56,12902,12415375.0,2.54,-2.44,-0.24,0.55
123,2024-07-09,300800,9.59,9.87,9.88,9.43,17800,17134463.0,4.68,2.71,0.26,0.76
124,2024-07-10,300800,9.88,9.85,10.02,9.77,12204,12088701.0,2.53,-0.2,-0.02,0.52
125,2024-07-11,300800,9.99,10.11,10.14,9.93,15823,15911350.0,2.13,2.64,0.26,0.68
126,2024-07-12,300800,10.1,10.14,10.26,10.03,13116,13310116.0,2.27,0.3,0.03,0.56
127,2024-07-15,300800,10.16,9.88,10.18,9.84,11023,10949791.0,3.35,-2.56,-0.26,0.47
128,2024-07-16,300800,9.98,10.75,11.44,9.86,104029,111021558.0,15.99,8.81,0.87,4.44
129,2024-07-17,300800,10.3,10.41,10.47,10.15,75239,77443781.0,2.98,-3.16,-0.34,3.21
130,2024-07-18,300800,10.0,9.78,10.0,9.6,55419,54165335.0,3.84,-6.05,-0.63,2.36
131,2024-07-19,300800,9.69,9.79,9.83,9.51,34053,33091237.0,3.27,0.1,0.01,1.45
132,2024-07-22,300800,9.98,9.66,9.99,9.63,25953,25316285.0,3.68,-1.33,-0.13,1.11
133,2024-07-23,300800,9.71,9.65,9.93,9.56,28158,27520987.0,3.83,-0.1,-0.01,1.2
134,2024-07-24,300800,9.57,9.3,9.65,9.29,24787,23340003.0,3.73,-3.63,-0.35,1.06
135,2024-07-25,300800,9.24,9.51,9.64,9.22,21691,20499220.0,4.52,2.26,0.21,0.93
136,2024-07-26,300800,9.5,9.8,9.83,9.5,22440,21862656.0,3.47,3.05,0.29,0.96
137,2024-07-29,300800,9.81,9.82,9.97,9.72,17807,17546401.0,2.55,0.2,0.02,0.76
138,2024-07-30,300800,9.8,9.87,9.95,9.73,16696,16463989.0,2.24,0.51,0.05,0.71
139,2024-07-31,300800,9.87,10.14,10.15,9.83,18393,18473705.0,3.24,2.74,0.27,0.78
140,2024-08-01,300800,10.13,10.22,10.29,9.96,26145,26722393.0,3.25,0.79,0.08,1.12
141,2024-08-02,300800,10.18,10.07,10.3,10.02,19330,19570038.0,2.74,-1.47,-0.15,0.82
142,2024-08-05,300800,10.01,9.65,10.16,9.65,18556,18388766.0,5.06,-4.17,-0.42,0.79
143,2024-08-06,300800,9.75,9.75,9.88,9.59,13777,13395891.0,3.01,1.04,0.1,0.59
144,2024-08-07,300800,9.71,9.88,9.9,9.71,12258,12055715.0,1.95,1.33,0.13,0.52
145,2024-08-08,300800,9.74,9.8,9.91,9.66,11729,11485715.0,2.53,-0.81,-0.08,0.5
146,2024-08-09,300800,9.81,9.73,9.91,9.72,8527,8351301.0,1.94,-0.71,-0.07,0.36
147,2024-08-12,300800,10.12,10.42,10.5,9.81,73772,75272077.0,7.09,7.09,0.69,3.15
148,2024-08-13,300800,9.86,10.31,10.35,9.86,60506,61369888.0,4.7,-1.06,-0.11,2.58
149,2024-08-14,300800,10.35,10.18,10.37,10.08,36557,37184005.0,2.81,-1.26,-0.13,1.56
150,2024-08-15,300800,10.1,10.18,10.24,9.96,24563,24845100.0,2.75,0.0,0.0,1.05
151,2024-08-16,300800,10.13,10.14,10.26,10.06,23500,23814139.0,1.96,-0.39,-0.04,1.0
152,2024-08-19,300800,10.14,10.46,10.46,10.03,52456,54085201.0,4.24,3.16,0.32,2.24
153,2024-08-20,300800,10.42,10.18,10.42,10.1,33891,34625089.0,3.06,-2.68,-0.28,1.45
154,2024-08-21,300800,10.33,10.11,10.4,10.07,20528,20868754.0,3.24,-0.69,-0.07,0.88
155,2024-08-22,300800,10.12,9.75,10.18,9.71,29450,29120750.0,4.65,-3.56,-0.36,1.26
156,2024-08-23,300800,9.65,9.39,9.65,9.19,30075,28223294.0,4.72,-3.69,-0.36,1.28
157,2024-08-26,300800,9.4,9.28,9.49,9.25,19304,17963602.0,2.56,-1.17,-0.11,0.82
158,2024-08-27,300800,9.27,9.06,9.35,9.03,14250,13027253.0,3.45,-2.37,-0.22,0.61
159,2024-08-28,300800,9.04,9.16,9.29,8.99,11598,10594156.0,3.31,1.1,0.1,0.49
160,2024-08-29,300800,9.08,9.27,9.3,9.06,11026,10165745.0,2.62,1.2,0.11,0.47
161,2024-08-30,300800,9.25,9.26,9.55,9.2,20553,19221398.0,3.78,-0.11,-0.01,0.88
162,2024-09-02,300800,9.27,9.01,9.4,9.01,22663,20755270.0,4.21,-2.7,-0.25,0.97
163,2024-09-03,300800,9.02,9.09,9.15,8.94,12442,11266363.0,2.33,0.89,0.08,0.53
164,2024-09-04,300800,9.03,8.93,9.07,8.91,12055,10822518.0,1.76,-1.76,-0.16,0.51
165,2024-09-05,300800,8.94,9.0,9.04,8.89,9104,8171676.0,1.68,0.78,0.07,0.39
166,2024-09-06,300800,8.91,8.55,8.95,8.53,21583,18716416.0,4.67,-5.0,-0.45,0.92
167,2024-09-09,300800,8.54,8.7,8.74,8.42,13992,12089108.0,3.74,1.75,0.15,0.6
168,2024-09-10,300800,8.7,8.81,8.86,8.62,12768,11149265.0,2.76,1.26,0.11,0.54
169,2024-09-11,300800,8.78,8.73,8.85,8.64,11825,10348889.0,2.38,-0.91,-0.08,0.5
170,2024-09-12,300800,8.66,8.7,8.84,8.63,11228,9818999.0,2.41,-0.34,-0.03,0.48
171,2024-09-13,300800,8.69,8.6,8.73,8.6,9855,8522539.0,1.49,-1.15,-0.1,0.42
172,2024-09-18,300800,8.6,8.46,8.68,8.3,10483,8866880.0,4.42,-1.63,-0.14,0.45
173,2024-09-19,300800,8.5,8.66,8.72,8.48,11332,9783996.0,2.84,2.36,0.2,0.48
174,2024-09-20,300800,8.8,8.65,8.8,8.55,11759,10152703.0,2.89,-0.12,-0.01,0.5
175,2024-09-23,300800,8.61,8.76,8.78,8.51,14006,12112241.0,3.12,1.27,0.11,0.6
