,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,688061,40.2,39.42,40.31,39.26,5907,23460483.0,2.63,-1.45,-0.58,1.39
1,2024-01-03,688061,39.31,39.35,39.88,38.48,15372,60342826.0,3.55,-0.18,-0.07,3.63
2,2024-01-04,688061,39.35,38.35,39.47,38.35,8144,31614282.0,2.85,-2.54,-1.0,1.92
3,2024-01-05,688061,38.48,37.38,38.6,37.15,6938,26189309.0,3.78,-2.53,-0.97,1.64
4,2024-01-08,688061,37.35,35.9,37.35,35.81,6327,22906871.0,4.12,-3.96,-1.48,1.49
5,2024-01-09,688061,35.88,35.72,36.39,35.35,4625,16586626.0,2.9,-0.5,-0.18,1.09
6,2024-01-10,688061,35.52,35.15,35.95,34.6,6355,22397107.0,3.78,-1.6,-0.57,1.5
7,2024-01-11,688061,35.13,35.36,35.7,34.68,6404,22510075.0,2.9,0.6,0.21,1.51
8,2024-01-12,688061,35.22,34.7,35.33,34.68,5516,19260893.0,1.84,-1.87,-0.66,1.3
9,2024-01-15,688061,34.71,34.4,35.15,34.11,4701,16275704.0,3.0,-0.86,-0.3,1.11
10,2024-01-16,688061,34.42,34.04,34.42,33.58,4619,15704512.0,2.44,-1.05,-0.36,1.09
11,2024-01-17,688061,34.04,33.05,34.1,33.04,3409,11459237.0,3.11,-2.91,-0.99,0.8
12,2024-01-18,688061,33.05,32.84,33.34,31.6,7809,25320817.0,5.26,-0.64,-0.21,1.84
13,2024-01-19,688061,32.84,31.75,33.29,31.75,5318,17154963.0,4.69,-3.32,-1.09,1.25
14,2024-01-22,688061,31.75,29.3,32.14,29.11,7827,23775954.0,9.54,-7.72,-2.45,1.85
15,2024-01-23,688061,29.31,28.92,29.66,28.66,7421,21506329.0,3.41,-1.3,-0.38,1.75
16,2024-01-24,688061,29.05,29.16,29.45,27.95,6911,19902221.0,5.19,0.83,0.24,1.63
17,2024-01-25,688061,29.13,30.6,30.69,28.9,6563,19695540.0,6.14,4.94,1.44,1.55
18,2024-01-26,688061,30.7,30.19,30.86,29.92,5433,16494013.0,3.07,-1.34,-0.41,1.28
19,2024-01-29,688061,30.5,28.59,30.71,28.41,9989,29151862.0,7.62,-5.3,-1.6,2.35
20,2024-01-30,688061,28.54,27.34,28.61,27.32,10158,28302472.0,4.51,-4.37,-1.25,2.39
21,2024-01-31,688061,27.55,25.8,27.92,25.5,12588,33540000.0,8.85,-5.63,-1.54,2.97
22,2024-02-01,688061,26.0,25.34,26.42,25.27,10785,27776878.0,4.46,-1.78,-0.46,2.54
23,2024-02-02,688061,25.48,24.0,25.99,23.0,15263,37306979.0,11.8,-5.29,-1.34,3.6
24,2024-02-05,688061,23.85,21.8,23.85,20.61,15540,34047833.0,13.5,-9.17,-2.2,3.66
25,2024-02-06,688061,21.54,22.93,23.25,20.0,14467,31171482.0,14.91,5.18,1.13,3.41
26,2024-02-07,688061,22.75,22.28,23.5,21.25,15784,35476404.0,9.81,-2.83,-0.65,3.72
27,2024-02-08,688061,22.28,26.3,26.73,22.28,20079,49697568.0,19.97,18.04,4.02,4.73
28,2024-02-19,688061,26.94,26.59,27.25,25.55,16670,43898682.0,6.46,1.1,0.29,3.93
29,2024-02-20,688061,27.27,26.49,27.27,26.08,7617,20141020.0,4.48,-0.38,-0.1,1.79
30,2024-02-21,688061,26.34,26.61,27.59,26.07,10102,27197837.0,5.74,0.45,0.12,2.38
31,2024-02-22,688061,26.62,27.14,27.2,26.4,7093,19072726.0,3.01,1.99,0.53,1.67
32,2024-02-23,688061,27.26,28.28,28.65,27.13,10295,28656964.0,5.6,4.2,1.14,2.43
33,2024-02-26,688061,28.9,29.37,30.42,28.32,14151,41570919.0,7.43,3.85,1.09,3.33
34,2024-02-27,688061,29.37,30.96,31.03,28.71,13159,39374321.0,7.9,5.41,1.59,3.1
35,2024-02-28,688061,30.91,27.67,31.56,27.67,19400,57712546.0,12.56,-10.63,-3.29,4.57
36,2024-02-29,688061,27.67,29.18,29.54,27.51,14343,40869118.0,7.34,5.46,1.51,3.38
37,2024-03-01,688061,29.1,29.5,29.63,28.72,10936,31986295.0,3.12,1.1,0.32,2.58
38,2024-03-04,688061,29.71,29.25,30.58,28.82,9520,27977700.0,5.97,-0.85,-0.25,2.24
39,2024-03-05,688061,29.22,28.85,29.97,28.71,9668,28283843.0,4.31,-1.37,-0.4,2.28
40,2024-03-06,688061,28.83,28.81,29.42,28.39,6247,18024812.0,3.57,-0.14,-0.04,1.47
41,2024-03-07,688061,29.27,28.15,29.69,28.13,7603,22008502.0,5.41,-2.29,-0.66,1.79
42,2024-03-08,688061,28.04,28.57,28.79,28.03,5165,14674294.0,2.7,1.49,0.42,1.22
43,2024-03-11,688061,28.57,29.2,29.2,28.17,6430,18535940.0,3.61,2.21,0.63,1.52
44,2024-03-12,688061,29.28,29.88,30.18,29.2,8578,25514601.0,3.36,2.33,0.68,2.02
45,2024-03-13,688061,29.92,30.03,30.4,29.7,7516,22597435.0,2.34,0.5,0.15,1.77
46,2024-03-14,688061,29.81,29.26,30.0,28.64,7917,23264800.0,4.53,-2.56,-0.77,1.87
47,2024-03-15,688061,29.39,29.61,29.68,29.01,5226,15354682.0,2.29,1.2,0.35,1.23
48,2024-03-18,688061,29.55,30.64,30.69,29.55,8970,27153818.0,3.85,3.48,1.03,2.11
49,2024-03-19,688061,30.65,30.77,31.37,30.31,9670,29818772.0,3.46,0.42,0.13,2.28
50,2024-03-20,688061,30.96,31.04,31.1,30.33,7619,23435923.0,2.5,0.88,0.27,1.8
51,2024-03-21,688061,31.18,30.72,31.65,30.21,6869,21210441.0,4.64,-1.03,-0.32,1.62
