序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
31,002298,中电兴发,6.33,10.09,0.58,999734.0,626426863.66,5.74,6.33,6.0,6.33,5.75,2.26,15.29,-9.35,1.45,4684902003.0,4137702083.0,0.0,0.0,75.35,9.9
32,002593,日上集团,5.13,10.09,0.47,2331010.0,1176756086.83,12.45,5.13,4.55,5.13,4.66,2.25,40.86,99.68,1.73,4123791689.0,2926504862.0,0.0,0.0,94.32,29.55
33,002681,奋达科技,6.99,10.08,0.64,3973406.0,2689851706.15,11.02,6.99,6.29,6.36,6.35,1.41,26.84,61.8,5.11,12619787073.0,10348236624.0,0.0,0.0,42.07,41.21
34,600172,黄河旋风,4.59,10.07,0.42,1443914.0,651587177.0,9.11,4.59,4.21,4.59,4.17,1.29,11.31,-11.67,3.2,6619626745.0,5858013893.0,0.0,0.0,131.82,22.73
35,000510,新金路,4.59,10.07,0.42,315419.0,143520826.89,11.03,4.59,4.13,4.18,4.17,2.18,5.56,-65.24,2.19,2976815074.0,2603922982.0,0.0,0.0,51.49,-19.05
36,002211,宏达新材,4.81,10.07,0.44,562621.0,259996952.15,13.27,4.81,4.23,4.35,4.37,0.98,13.01,-86.41,46.01,2080208497.0,2080208497.0,0.0,0.0,89.37,20.25
37,002516,旷达科技,5.91,10.06,0.54,281171.0,164212692.23,7.64,5.91,5.5,5.5,5.37,1.54,1.93,55.14,2.4,8692656611.0,8594580161.0,0.0,0.0,59.73,22.36
38,605006,山东玻纤,6.13,10.05,0.56,305724.0,183020542.0,13.82,6.13,5.36,5.57,5.57,3.91,5.1,-25.39,1.47,3745165705.0,3678040979.0,0.0,0.0,50.99,-10.51
39,002031,巨轮智能,6.24,10.05,0.57,5203644.0,3237185927.26,4.06,6.24,6.01,6.24,5.67,3.49,26.25,1761.91,5.64,13724228981.0,12369227601.0,0.0,0.0,173.68,50.72
40,605018,长华集团,9.53,10.05,0.87,132595.0,122903095.0,11.2,9.53,8.56,8.66,8.66,3.51,2.82,37.43,1.66,4490781807.0,4479727007.0,0.0,0.0,30.91,-12.41
41,603278,大业股份,10.52,10.04,0.96,94219.0,99117894.0,0.0,10.52,10.52,10.52,9.56,0.83,2.76,-25.05,1.66,3595308804.0,3595308804.0,0.0,0.0,104.67,-16.31
42,603669,灵康药业,8.0,10.04,0.73,396624.0,314446313.0,7.02,8.0,7.49,7.5,7.27,1.65,5.5,-92.29,7.26,5769927040.0,5769927040.0,0.0,0.0,84.76,44.67
43,600506,统一股份,17.66,10.03,1.61,147882.0,251642281.0,12.59,17.66,15.64,15.91,16.05,0.72,10.01,95.47,7.92,3391054374.0,2608503377.0,0.0,0.0,56.28,-2.91
44,001222,源飞宠物,19.09,10.03,1.74,277852.0,512757166.01,10.78,19.09,17.22,18.22,17.35,4.89,35.37,22.83,2.86,3644090100.0,1499428345.0,0.0,0.0,80.78,31.66
45,002685,华东重机,7.79,10.03,0.71,820325.0,629465774.53,9.04,7.79,7.15,7.2,7.08,1.51,8.14,174.01,5.36,7849910093.0,7848863702.0,0.0,0.0,151.29,118.21
46,002193,如意集团,7.79,10.03,0.71,1003357.0,765479828.26,10.03,7.79,7.08,7.77,7.08,6.58,38.34,48.2,1.6,2038764135.0,2038752450.0,0.0,0.0,108.29,17.67
47,605188,国光连锁,8.12,10.03,0.74,170375.0,135557062.0,11.92,8.12,7.24,7.32,7.38,2.64,3.44,368.84,3.59,4024109600.0,4024109600.0,0.0,0.0,32.68,-4.47
48,000903,云内动力,4.06,10.03,0.37,3420810.0,1360615112.45,16.26,4.06,3.46,3.47,3.69,2.05,17.81,-18.3,3.0,7916062842.0,7796262291.0,0.0,0.0,133.33,39.04
49,002402,和而泰,20.52,10.03,1.87,3028282.0,5931527186.21,12.39,20.52,18.21,18.66,18.65,1.64,37.79,40.07,4.07,18984945688.0,16444343209.0,0.0,0.0,119.23,45.12
50,002283,天润工业,5.71,10.02,0.52,1100193.0,614665490.52,10.6,5.71,5.16,5.19,5.19,5.06,10.99,18.14,1.08,6506300486.0,5718378820.0,0.0,0.0,39.61,1.6
51,001324,长青科技,20.65,10.02,1.88,100834.0,199981280.21,11.24,20.65,18.54,18.63,18.77,1.85,12.35,43.88,2.59,2849700000.0,1686146840.0,0.0,0.0,36.39,-14.56
52,000753,漳州发展,7.03,10.02,0.64,2903069.0,2006473136.59,10.95,7.03,6.33,6.6,6.39,1.95,29.28,106.09,2.56,6970111929.0,6970111929.0,0.0,0.0,161.34,68.18
53,603270,金帝股份,22.52,10.01,2.05,71215.0,156987159.0,10.6,22.52,20.35,20.53,20.47,1.49,13.0,44.34,2.29,4934282141.0,1233570541.0,0.0,0.0,40.84,-26.04
54,002265,建设工业,15.16,10.01,1.38,597241.0,903745692.23,4.72,15.16,14.51,15.16,13.78,6.62,14.82,64.11,4.42,15660892570.0,6110950899.0,0.0,0.0,91.41,33.45
55,603585,苏利股份,15.82,10.01,1.44,112760.0,171491028.0,11.96,15.82,14.1,14.15,14.38,1.03,6.26,254.23,1.23,2908543228.0,2847636228.0,0.0,0.0,48.27,10.94
56,605199,葫芦娃,25.16,10.01,2.29,366974.0,914111416.0,6.47,25.16,23.68,24.1,22.87,2.73,9.17,90.0,8.72,10066736200.0,10066736200.0,0.0,0.0,150.35,67.29
57,001287,中电港,21.54,10.01,1.96,403290.0,847518782.32,9.4,21.54,19.7,19.97,19.58,4.37,9.22,82.48,3.21,16368248089.0,9421477487.0,0.0,0.0,15.37,3.81
58,603121,华培动力,10.88,10.01,0.99,45283.0,49267676.0,0.0,10.88,10.88,10.88,9.89,0.33,1.34,38.77,2.98,3683246819.0,3683246819.0,0.0,0.0,56.55,1.78
59,605089,味知香,28.8,10.01,2.62,65704.0,182214027.0,12.95,28.8,25.41,26.18,26.18,1.26,4.76,44.01,3.31,3974400000.0,3974400000.0,0.0,0.0,63.08,-19.64
60,603429,集友股份,8.47,10.0,0.77,104469.0,87370389.0,10.91,8.47,7.63,7.69,7.7,1.16,1.99,-61.77,3.48,4442391889.0,4442391889.0,0.0,0.0,129.54,3.67
