序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
919,603863,松炀资源,26.35,0.19,0.05,63109.0,164468647.0,4.56,26.6,25.4,26.1,26.3,0.98,3.08,-38.65,9.05,5392527500.0,5392527500.0,0.23,0.5,1.82,-22.11
920,301069,凯盛新材,16.05,0.19,0.03,139031.0,222440111.14,6.37,16.56,15.54,15.8,16.02,1.58,3.55,96.92,4.58,6751279576.0,6290965576.0,-0.06,0.31,37.89,-24.36
921,002077,大港股份,16.27,0.18,0.03,495300.0,829037036.61,6.96,17.36,16.23,16.94,16.24,1.26,8.53,178.43,2.85,9442270307.0,9442270307.0,0.0,0.12,48.72,6.69
922,002637,赞宇科技,10.92,0.18,0.02,68052.0,74122538.0,2.66,11.06,10.77,10.81,10.9,0.44,1.54,31.94,1.38,5136778920.0,4834536798.0,0.0,0.28,32.52,2.73
923,000035,中国天楹,5.49,0.18,0.01,416745.0,228340329.0,2.55,5.55,5.41,5.44,5.48,0.95,1.72,28.33,1.25,13729299669.0,13317609532.0,0.0,0.18,32.61,11.59
924,600023,浙能电力,5.57,0.18,0.01,456312.0,254650683.0,1.44,5.62,5.54,5.57,5.56,0.85,0.34,8.36,1.04,74686641412.0,74686641412.0,0.0,0.18,-11.45,27.75
925,601169,北京银行,5.72,0.18,0.01,1192453.0,680662589.0,1.58,5.75,5.66,5.69,5.71,1.07,0.56,4.4,0.45,120937870036.0,120937870036.0,0.0,0.35,6.72,35.87
926,000909,ST数源,5.73,0.17,0.01,100452.0,58966112.0,4.9,6.0,5.72,5.76,5.72,1.56,2.29,39.03,2.11,2508102624.0,2508081566.0,0.0,0.0,59.17,-11.71
927,301028,东亚机械,11.59,0.17,0.02,48216.0,56212122.0,3.03,11.82,11.47,11.5,11.57,1.28,1.96,18.13,3.07,4424762004.0,2853271007.0,0.0,0.35,33.22,0.52
928,600620,天宸股份,5.89,0.17,0.01,151023.0,90944734.0,6.29,6.18,5.81,5.87,5.88,2.21,2.2,-847.36,2.69,4044528196.0,4044528196.0,-0.34,-0.17,26.39,-37.27
929,834261,一诺威,12.07,0.17,0.02,54847.0,66257989.25,5.98,12.4,11.68,11.96,12.05,0.98,3.21,23.47,2.38,3513972268.0,2063870133.0,0.17,0.58,75.18,24.43
930,001231,农心科技,18.11,0.17,0.03,15613.0,28169055.64,2.43,18.25,17.81,18.08,18.08,0.73,4.24,38.67,1.92,1811000000.0,667109015.0,-0.06,-0.11,32.09,-12.51
931,002156,通富微电,30.86,0.16,0.05,1361339.0,4313231507.28,6.36,32.7,30.74,31.61,30.81,1.07,8.97,63.57,3.24,46833040704.0,46827682174.0,0.03,0.06,62.51,33.54
932,301395,仁信新材,12.5,0.16,0.02,42852.0,54091138.77,3.61,12.83,12.38,12.5,12.48,1.72,3.95,57.65,1.64,2536100000.0,1356600000.0,0.4,0.64,30.89,-1.73
933,603082,北自科技,37.79,0.16,0.06,55892.0,212545596.0,3.82,38.61,37.17,37.33,37.73,0.95,17.23,37.76,4.04,6130578850.0,1226116201.0,0.03,0.16,36.82,82.56
934,003031,中瓷电子,57.01,0.16,0.09,27469.0,157351829.25,2.81,58.0,56.4,57.2,56.92,0.8,1.66,52.24,4.39,25714523492.0,9418727055.0,-0.02,0.09,49.01,-9.13
935,601872,招商轮船,6.38,0.16,0.01,671266.0,430939089.0,2.35,6.49,6.34,6.35,6.37,1.11,0.82,11.57,1.39,51957484532.0,51957484532.0,0.0,0.16,-11.27,15.16
936,003026,中晶科技,38.42,0.16,0.06,62894.0,246618748.7,4.41,40.0,38.31,38.8,38.36,1.02,7.83,291.51,7.76,5003494115.0,3085751593.0,0.03,0.03,26.72,39.51
937,603630,拉芳家化,13.62,0.15,0.02,82962.0,113622720.0,4.63,14.03,13.4,13.47,13.6,0.71,3.68,42.11,1.58,3067286380.0,3067286380.0,0.07,0.0,43.82,-9.32
938,301062,上海艾录,13.84,0.14,0.02,129331.0,180038817.61,3.84,14.13,13.6,13.77,13.82,1.07,4.65,65.55,3.76,5541520928.0,3851356739.0,0.14,0.07,39.1,28.51
939,600323,瀚蓝环境,21.46,0.14,0.03,33510.0,71858464.0,2.1,21.66,21.21,21.41,21.43,0.56,0.41,9.47,1.33,17497349753.0,17497349753.0,-0.05,-0.14,8.0,27.36
940,600660,福耀玻璃,57.28,0.14,0.08,85196.0,487648809.0,1.98,57.63,56.5,56.88,57.2,0.84,0.43,20.46,4.48,149486109513.0,114731057097.0,0.03,0.02,20.54,58.71
941,601328,交通银行,7.36,0.14,0.01,1457869.0,1071399371.0,1.77,7.4,7.27,7.33,7.35,0.99,0.37,5.97,0.57,546573668107.0,288886359150.0,-0.14,0.0,4.25,37.06
942,600348,华阳股份,7.58,0.13,0.01,302496.0,229333169.0,1.85,7.64,7.5,7.54,7.57,1.06,0.84,11.27,0.99,27344850000.0,27344850000.0,0.0,0.13,4.12,-16.15
943,000061,农 产 品,7.69,0.13,0.01,114722.0,88218784.0,4.17,7.83,7.51,7.65,7.68,0.56,0.68,31.24,2.09,13049654167.0,13049414816.0,-0.13,0.13,47.04,20.91
944,000752,ST西发,7.96,0.13,0.01,28004.0,22206767.44,1.51,7.99,7.87,7.96,7.95,0.69,1.06,65.63,15.48,2099517588.0,2099517588.0,0.13,0.51,19.34,12.75
945,000543,皖能电力,7.98,0.13,0.01,251663.0,201347786.54,1.76,8.06,7.92,7.96,7.97,0.81,1.11,8.57,1.17,18089569381.0,18089569381.0,0.0,0.13,-7.42,32.12
946,688651,盛邦安全,40.95,0.12,0.05,15647.0,64315231.0,3.08,41.79,40.53,40.97,40.9,1.04,4.97,-66.44,3.29,3087589050.0,1290351945.0,-0.29,-0.24,66.13,-12.87
947,002648,卫星化学,17.95,0.11,0.02,131645.0,235857849.04,1.34,18.04,17.8,17.93,17.93,1.03,0.39,12.28,2.17,60467190136.0,60426686858.0,0.17,0.11,11.98,25.09
948,605358,立昂微,27.0,0.11,0.03,133800.0,367026203.0,4.34,28.01,26.84,27.89,26.97,1.46,1.99,-250.18,2.42,18126878490.0,18126878490.0,-0.15,0.26,40.48,-1.1
949,688083,中望软件,99.5,0.11,0.11,23486.0,234749724.0,4.57,102.25,97.71,99.32,99.39,0.94,1.94,840.65,4.63,12069728001.0,12069728001.0,0.11,0.11,63.71,0.41
950,600461,洪城环境,9.27,0.11,0.01,155207.0,143269745.0,2.16,9.33,9.13,9.23,9.26,0.89,1.31,9.6,1.31,11795781336.0,10994189409.0,-0.11,0.11,-5.98,6.55
951,688135,利扬芯片,18.82,0.11,0.02,45239.0,86785632.0,4.57,19.65,18.79,19.1,18.8,1.29,2.26,-231.78,3.44,3769818015.0,3769818015.0,-0.37,0.05,37.37,-15.26
952,300671,富满微,38.11,0.11,0.04,125972.0,495002370.17,6.07,40.35,38.04,39.88,38.07,2.1,5.81,-96.03,4.7,8297479666.0,8268848766.0,-0.21,0.0,45.96,17.88
953,300586,美联新材,9.74,0.1,0.01,493025.0,481649119.7,6.68,10.15,9.5,9.79,9.73,0.74,9.22,142.25,3.61,6927250122.0,5205924983.0,0.0,0.31,57.35,21.14
954,600352,浙江龙盛,10.17,0.1,0.01,206585.0,209897058.0,0.79,10.2,10.12,10.16,10.16,0.84,0.63,18.33,0.97,33086385016.0,33086385016.0,0.1,0.0,13.38,27.92
955,002458,益生股份,10.9,0.09,0.01,349637.0,376300979.5,4.22,10.94,10.48,10.78,10.89,1.14,4.67,30.1,2.71,12059900774.0,8162664307.0,-0.09,-0.18,38.15,3.22
956,002972,科安达,10.97,0.09,0.01,57885.0,63994864.2,3.74,11.3,10.89,10.93,10.96,1.61,4.35,29.41,2.25,2698716536.0,1460515238.0,0.27,0.46,14.39,-12.1
957,688558,国盛智科,22.82,0.09,0.02,13389.0,30657794.0,5.0,23.37,22.23,22.23,22.8,1.19,1.01,22.75,1.88,3012240000.0,3012240000.0,-0.04,0.18,41.48,-18.21
958,002318,久立特材,23.82,0.08,0.02,81632.0,194380292.09,2.9,24.1,23.41,23.71,23.8,1.0,0.85,16.71,3.07,23276206550.0,22742428982.0,0.08,0.17,27.18,22.78
959,603779,威龙股份,12.01,0.08,0.01,91419.0,110157247.0,4.42,12.23,11.7,11.99,12.0,0.75,2.75,692.79,7.06,3988313876.0,3988313876.0,0.0,0.33,50.13,9.58
960,300672,国科微,67.46,0.07,0.05,99012.0,682743019.7,5.47,71.0,67.31,68.8,67.41,1.71,4.71,156.9,3.6,14648309733.0,14173336623.0,0.0,0.13,51.32,15.04
961,688099,晶晨股份,68.05,0.07,0.05,73539.0,505875526.0,3.53,69.96,67.56,68.8,68.0,1.13,1.76,35.99,4.63,28494903684.0,28494903684.0,0.0,-0.04,27.72,8.65
962,301004,嘉益股份,98.59,0.07,0.07,7627.0,75983438.31,3.77,101.26,97.55,98.49,98.52,1.02,0.8,14.46,6.1,10240474287.0,9432742487.0,-0.06,0.5,9.08,126.9
963,300857,协创数据,88.9,0.07,0.06,70549.0,628492907.62,3.43,90.77,87.72,88.8,88.84,0.62,2.88,29.36,7.17,21803182479.0,21741374754.0,0.06,0.36,83.83,68.12
964,300707,威唐工业,16.01,0.06,0.01,126157.0,202960481.77,4.44,16.41,15.7,15.78,16.0,1.37,8.81,71.43,2.52,2833384063.0,2292294413.0,-0.31,-0.25,49.77,-13.65
965,600641,万业企业,17.41,0.06,0.01,221635.0,393230526.0,4.89,18.2,17.35,18.0,17.4,0.54,2.38,-383.61,1.95,16202266907.0,16202266907.0,-0.23,-0.11,83.26,1.16
966,870508,丰安股份,17.79,0.06,0.01,18700.0,33027071.39,6.47,18.29,17.14,17.65,17.78,0.44,4.57,31.31,2.41,1107249600.0,727602959.0,0.06,0.74,144.03,43.47
967,300745,欣锐科技,18.37,0.05,0.01,63852.0,117842074.8,4.79,18.88,18.0,18.23,18.36,1.64,4.52,-32.18,1.31,3079076363.0,2595639025.0,-0.05,-0.05,42.18,-32.39
968,300033,同花顺,331.31,0.05,0.17,242573.0,8149018314.29,5.56,347.0,328.58,328.6,331.14,0.8,8.87,205.21,26.26,178112256000.0,90609833081.0,0.09,0.25,234.86,114.2
969,301607,富特科技,39.42,0.05,0.02,17110.0,67825170.06,2.44,40.09,39.13,39.39,39.4,1.03,7.65,39.77,4.45,4376194389.0,881752552.0,0.0,0.0,181.57,181.57
970,301329,信音电子,20.12,0.05,0.01,43587.0,88658326.66,4.43,20.79,19.9,20.15,20.11,1.75,7.27,52.73,2.22,3424424000.0,1206073280.0,0.0,0.15,22.91,-9.86
971,301578,辰奕智能,60.83,0.05,0.03,26853.0,161641313.23,3.95,61.5,59.1,60.21,60.8,0.99,17.21,86.94,4.12,3795792000.0,948948000.0,0.02,0.13,51.7,3.28
972,002943,宇晶股份,20.34,0.05,0.01,34216.0,69948483.73,3.1,20.8,20.17,20.56,20.33,1.33,2.83,98.07,3.29,4161539511.0,2462656998.0,-0.05,0.69,10.6,-4.1
973,301135,瑞德智能,26.12,0.04,0.01,41860.0,110843130.0,4.17,26.97,25.88,26.18,26.11,1.47,8.46,92.09,2.16,2664122460.0,1291809004.0,0.0,0.08,41.42,6.53
974,688633,星球石墨,26.99,0.04,0.01,21581.0,59391928.0,6.23,28.48,26.8,27.9,26.98,2.4,1.5,29.88,2.54,3913785974.0,3880167769.0,0.0,0.67,48.05,22.74
975,688123,聚辰股份,56.9,0.04,0.02,45060.0,260759863.0,4.4,58.8,56.3,58.11,56.88,1.17,2.86,31.78,4.25,8957308614.0,8957308614.0,-0.04,0.0,23.7,-6.77
976,688208,道通科技,36.21,0.03,0.01,101565.0,368160559.0,3.56,36.98,35.69,36.06,36.2,0.7,2.25,22.67,5.22,16362503394.0,16362503394.0,0.0,0.17,56.75,57.78
977,688768,容知日新,36.33,0.03,0.01,8385.0,30772060.0,4.57,37.5,35.84,36.43,36.32,0.91,1.03,876.46,3.31,3176235734.0,2965474324.0,0.0,-0.44,65.89,-1.01
978,836239,长虹能源,37.97,0.03,0.01,29294.0,110182045.11,4.0,38.52,37.0,37.18,37.96,0.93,5.89,25.93,5.76,4938112524.0,1887662754.0,0.03,0.0,131.95,106.81
979,688198,佰仁医疗,118.75,0.03,0.03,2005.0,23784927.0,1.27,119.49,117.98,118.99,118.72,0.97,0.15,208.49,13.92,16315673825.0,16315673825.0,0.04,0.08,22.71,-4.02
980,603099,长白山,43.27,0.02,0.01,128765.0,556163624.0,3.88,44.04,42.36,42.53,43.26,0.7,4.83,58.54,9.88,11538810900.0,11538810900.0,0.0,0.0,75.18,190.4
981,603195,公牛集团,72.15,0.01,0.01,15861.0,114253231.0,1.07,72.38,71.61,72.13,72.14,0.7,0.12,21.43,6.28,93252302274.0,92818207110.0,0.01,0.11,12.8,13.03
982,920098,科隆新材,,,,,,,,,,14.0,,0.0,,,,,,,0.0,0.0
983,835174,五新隧装,,,,,,,,,,27.29,,0.0,19.61,3.27,2456337914.0,2366182506.0,,,79.78,38.46
984,833994,翰博高新,,,,,,,,,,32.9,,0.0,,,,,,,0.0,0.0
985,833874,泰祥股份,,,,,,,,,,20.13,,0.0,,,,,,,2.55,2.55
986,832317,观典防务,,,,,,,,,,21.88,,0.0,,,,,,,0.0,0.0
987,688708,佳驰科技,,,,,,,,,,27.08,,0.0,25.36,3.6,10832270800.0,967042371.0,,,0.0,0.0
988,688701,卓锦股份,6.66,0.0,0.0,21742.0,14437443.0,2.55,6.73,6.56,6.7,6.66,1.05,1.62,-15.82,3.75,894287298.0,894287298.0,0.6,1.22,54.17,-26.41
989,688605,先锋精科,,,,,,,,,,11.29,,0.0,7.34,1.85,1713651024.0,,,,0.0,0.0
990,688582,芯动联科,50.2,0.0,0.0,70437.0,360860794.0,5.58,52.4,49.6,51.0,50.2,1.43,2.89,109.23,9.02,20110441280.0,12232635600.0,0.12,0.18,49.99,30.25
991,688555,退市泽达,,,,,,,,,,1.12,,0.0,,,,,,,0.0,0.0
992,688281,华秦科技,95.58,0.0,0.0,7873.0,75382021.0,1.72,96.6,94.96,96.18,95.58,0.69,1.62,45.1,4.17,18608789342.0,4652197742.0,0.15,0.05,27.78,-1.12
993,688086,退市紫晶,,,,,,,,,,0.64,,0.0,,,,,,,0.0,0.0
994,605028,世茂能源,18.81,0.0,0.0,99242.0,188357921.0,6.91,19.66,18.36,18.8,18.81,1.23,6.2,18.13,2.27,3009600000.0,3009600000.0,0.05,0.05,52.55,2.23
995,603996,退市中新,,,,,,,,,,0.39,,0.0,,,,,,,0.0,0.0
996,603776,永安行,,,,,,,,,,15.72,,0.0,-90.4,1.27,3607432485.0,3607432485.0,,,64.44,14.08
997,603603,退市博天,,,,,,,,,,0.39,,0.0,,,,,,,0.0,-74.34
998,603555,ST贵人,,,,,,,,,,0.67,,0.0,,,,,,,0.0,-57.32
999,603356,华菱精工,,,,,,,,,,14.68,,0.0,-26.92,3.4,1957431200.0,1957431200.0,,,28.43,0.34
1000,603331,百达精工,10.2,0.0,0.0,97056.0,98900583.0,3.24,10.34,10.01,10.11,10.2,1.41,4.8,72.2,1.63,2062528087.0,2062191487.0,0.2,0.39,22.45,-20.93
1001,603286,日盈电子,19.76,0.0,0.0,55077.0,109891206.0,3.54,20.3,19.6,19.94,19.76,1.13,4.82,180.16,2.65,2304508637.0,2258645677.0,0.1,0.1,29.66,-23.53
1002,603208,江山欧派,19.33,0.0,0.0,15380.0,29596219.0,1.71,19.43,19.1,19.33,19.33,1.22,0.87,15.7,2.56,3424747788.0,3424747788.0,0.05,0.26,18.52,-30.74
1003,603160,汇顶科技,,,,,,,,,,81.8,,0.0,62.74,4.44,37486140804.0,37486140804.0,,,33.66,18.69
1004,603157,退市拉夏,,,,,,,,,,0.59,,0.0,,,,,,,0.0,0.0
1005,603133,退市碳元,,,,,,,,,,0.29,,0.0,,,,,,,0.0,-96.01
1006,601658,邮储银行,5.48,0.0,0.0,1350894.0,740423289.0,1.82,5.52,5.42,5.46,5.48,0.83,0.2,5.38,0.65,543402696688.0,367830725696.0,0.0,0.18,15.61,33.99
1007,601607,上海医药,21.37,0.0,0.0,159576.0,340916484.0,1.73,21.57,21.2,21.45,21.37,0.89,0.82,14.66,1.12,79232608741.0,41369646634.0,-0.05,0.05,15.02,31.59
1008,601558,退市锐电,,,,,,,,,,0.25,,0.0,,,,,,,0.0,0.0
1009,601299,中国北车,,,,,,,,,,29.98,,0.0,,,,,,,0.0,0.0
1010,601268,*ST二重,,,,,,,,,,2.35,,0.0,,,,,,,0.0,0.0
1011,601258,*ST庞大,,,,,,,,,,0.4,,0.0,,,,,,,0.0,0.0
1012,600991,广汽长丰,,,,,,,,,,17.82,,0.0,,,,,,,0.0,0.0
1013,600978,*ST宜生,,,,,,,,,,0.52,,0.0,,,,,,,0.0,0.0
1014,600899,*ST信联,,,,,,,,,,1.13,,0.0,,,,,,,0.0,0.0
1015,600896,退市海医,,,,,,,,,,1.12,,0.0,,,,,,,0.0,0.0
1016,600891,退市秋林,,,,,,,,,,0.38,,0.0,,,,,,,0.0,0.0
1017,600890,退市中房,,,,,,,,,,0.36,,0.0,,,,,,,0.0,0.0
1018,600878,*ST北科,,,,,,,,,,2.64,,0.0,,,,,,,0.0,0.0
1019,600870,退市厦华,,,,,,,,,,0.6,,0.0,,,,,,,0.0,0.0
1020,600856,退市中天,,,,,,,,,,0.27,,0.0,,,,,,,0.0,0.0
1021,600852,*ST中川,,,,,,,,,,0.72,,0.0,,,,,,,0.0,0.0
1022,600849,上药转换,,,,,,,,,,14.73,,0.0,,,,,,,0.0,0.0
1023,600842,中西药业,,,,,,,,,,13.96,,0.0,,,,,,,0.0,0.0
1024,600840,新湖创业,,,,,,,,,,23.8,,0.0,,,,,,,0.0,0.0
1025,600836,*ST易连,,,,,,,,,,0.45,,0.0,,,,,,,0.0,-88.25
1026,600832,东方明珠,,,,,,,,,,23.18,,0.0,,,,,,,0.0,0.0
1027,600823,*ST世茂,,,,,,,,,,0.43,,0.0,,,,,,,0.0,-62.28
1028,600813,ST鞍一工,,,,,,,,,,3.83,,0.0,,,,,,,0.0,0.0
1029,600806,退市昆机,,,,,,,,,,1.47,,0.0,,,,,,,0.0,0.0
1030,600799,*ST龙科,,,,,,,,,,0.54,,0.0,,,,,,,0.0,0.0
1031,600795,国电电力,4.69,0.0,0.0,742145.0,347299177.0,1.28,4.71,4.65,4.68,4.69,0.68,0.42,6.83,1.46,83649053495.0,83649053495.0,0.0,0.0,-12.34,17.25
1032,600788,*ST达曼,,,,,,,,,,0.91,,0.0,,,,,,,0.0,0.0
1033,600786,东方锅炉,,,,,,,,,,82.2,,0.0,,,,,,,0.0,0.0
1034,600781,退市辅仁,,,,,,,,,,0.77,,0.0,,,,,,,0.0,0.0
1035,600772,S*ST龙昌,,,,,,,,,,1.3,,0.0,,,,,,,0.0,0.0
1036,600767,退市运盛,,,,,,,,,,0.42,,0.0,,,,,,,0.0,0.0
1037,600766,退市园城,,,,,,,,,,0.42,,0.0,,,,,,,0.0,-97.59
1038,600762,S*ST金荔,,,,,,,,,,0.77,,0.0,,,,,,,0.0,0.0
1039,600752,*ST哈慈,,,,,,,,,,0.84,,0.0,,,,,,,0.0,0.0
1040,600747,退市大控,,,,,,,,,,0.26,,0.0,,,,,,,0.0,0.0
1041,600723,首商股份,,,,,,,,,,8.93,,0.0,,,,,,,0.0,0.0
1042,600709,ST生态,,,,,,,,,,3.02,,0.0,,,,,,,0.0,0.0
1043,600701,退市工新,,,,,,,,,,0.45,,0.0,,,,,,,0.0,0.0
1044,600700,*ST数码,,,,,,,,,,0.64,,0.0,,,,,,,0.0,0.0
1045,600695,退市绿庭,,,,,,,,,,0.51,,0.0,,,,,,,0.0,0.0
1046,600687,退市刚泰,,,,,,,,,,0.3,,0.0,,,,,,,0.0,0.0
1047,600680,*ST上普,,,,,,,,,,7.69,,0.0,,,,,,,0.0,0.0
1048,600677,*ST航通,,,,,,,,,,3.01,,0.0,,,,,,,0.0,0.0
1049,600672,*ST华圣,,,,,,,,,,0.7,,0.0,,,,,,,0.0,0.0
1050,600670,*ST斯达,,,,,,,,,,2.87,,0.0,,,,,,,0.0,0.0
1051,600669,*ST鞍成,,,,,,,,,,2.19,,0.0,,,,,,,0.0,0.0
1052,600659,*ST花雕,,,,,,,,,,1.41,,0.0,,,,,,,0.0,0.0
1053,600656,退市博元,,,,,,,,,,4.49,,0.0,,,,,,,0.0,0.0
1054,600652,退市游久,,,,,,,,,,1.19,,0.0,,,,,,,0.0,0.0
1055,600647,退市同达,,,,,,,,,,1.52,,0.0,,,,,,,0.0,-86.14
1056,600646,ST国嘉,,,,,,,,,,5.82,,0.0,,,,,,,0.0,0.0
1057,600634,退市富控,,,,,,,,,,0.28,,0.0,,,,,,,0.0,0.0
1058,600632,华联商厦,,,,,,,,,,9.53,,0.0,,,,,,,0.0,0.0
1059,600631,百联股份,,,,,,,,,,15.68,,0.0,,,,,,,0.0,0.0
1060,600627,上电股份,,,,,,,,,,28.73,,0.0,,,,,,,0.0,0.0
1061,600625,PT水仙,,,,,,,,,,4.8,,0.0,,,,,,,0.0,0.0
1062,600614,退市鹏起,,,,,,,,,,0.26,,0.0,,,,,,,0.0,0.0
1063,600607,上实医药,,,,,,,,,,23.52,,0.0,,,,,,,0.0,0.0
1064,600591,*ST上航,,,,,,,,,,7.27,,0.0,,,,,,,0.0,0.0
1065,600569,安阳钢铁,1.96,0.0,0.0,387014.0,76284454.0,5.1,2.03,1.93,1.95,1.96,1.07,1.35,-1.94,1.5,5629945917.0,5629945917.0,0.0,0.51,42.03,-7.98
1066,600565,ST迪马,,,,,,,,,,0.85,,0.0,,,,,,,0.0,-42.57
1067,600555,退市海创,,,,,,,,,,0.26,,0.0,,,,,,,0.0,0.0
1068,600553,太行水泥,,,,,,,,,,14.98,,0.0,,,,,,,0.0,0.0
1069,600532,退市未来,,,,,,,,,,0.72,,0.0,,,,,,,0.0,0.0
1070,600485,*ST信威,,,,,,,,,,1.39,,0.0,,,,,,,0.0,0.0
1071,600472,包头铝业,,,,,,,,,,51.82,,0.0,,,,,,,0.0,0.0
1072,600466,*ST蓝光,,,,,,,,,,0.4,,0.0,,,,,,,0.0,0.0
1073,600432,退市吉恩,,,,,,,,,,1.38,,0.0,,,,,,,0.0,0.0
1074,600401,退市海润,,,,,,,,,,0.15,,0.0,,,,,,,0.0,0.0
1075,600395,盘江股份,5.37,0.0,0.0,207745.0,111445718.0,1.68,5.41,5.32,5.36,5.37,1.1,0.97,245.71,1.04,11527375681.0,11527375681.0,-0.19,0.19,0.75,-8.83
1076,600393,ST粤泰,,,,,,,,,,0.37,,0.0,,,,,,,0.0,0.0
1077,600385,退市金泰,,,,,,,,,,1.2,,0.0,,,,,,,0.0,0.0
1078,600360,ST华微,4.96,0.0,0.0,238778.0,120232775.0,3.43,5.11,4.94,5.04,4.96,1.11,2.49,35.12,1.42,4763064708.0,4763064708.0,-0.2,0.2,43.35,-31.3
1079,600357,承德钒钛,,,,,,,,,,7.4,,0.0,,,,,,,0.0,0.0
1080,600331,宏达股份,,,,,,,,,,8.52,,0.0,609.77,45.95,17312640000.0,17312640000.0,,,38.09,66.08
1081,600321,正源股份,,,,,,,,,,0.5,,0.0,,,,,,,0.0,-72.07
1082,600317,营口港,,,,,,,,,,2.6,,0.0,,,,,,,0.0,0.0
1083,600311,*ST荣华,,,,,,,,,,0.61,,0.0,,,,,,,0.0,0.0
1084,600306,退市商城,,,,,,,,,,0.29,,0.0,,,,,,,0.0,-97.07
1085,600297,广汇汽车,,,,,,,,,,0.78,,0.0,,,,,,,0.0,-54.65
1086,600296,S兰铝,,,,,,,,,,14.61,,0.0,,,,,,,0.0,0.0
1087,600291,退市西水,,,,,,,,,,0.89,,0.0,,,,,,,0.0,0.0
1088,600290,*ST华仪,,,,,,,,,,0.37,,0.0,,,,,,,0.0,0.0
1089,600289,*ST信通,,,,,,,,,,1.79,,0.0,29.46,1.56,1129583204.0,1013001604.0,,,24.31,-29.25
1090,600286,S*ST国瓷,,,,,,,,,,0.67,,0.0,,,,,,,0.0,0.0
1091,600277,ST亿利,,,,,,,,,,0.38,,0.0,,,,,,,0.0,-85.55
1092,600275,退市昌鱼,,,,,,,,,,0.41,,0.0,,,,,,,0.0,0.0
1093,600270,外运发展,,,,,,,,,,20.99,,0.0,,,,,,,0.0,0.0
1094,600263,路桥建设,,,,,,,,,,16.43,,0.0,,,,,,,0.0,0.0
1095,600260,*ST凯乐,,,,,,,,,,0.47,,0.0,,,,,,,0.0,0.0
1096,600253,天方药业,,,,,,,,,,6.26,,0.0,,,,,,,0.0,0.0
1097,600247,*ST成城,,,,,,,,,,0.65,,0.0,,,,,,,0.0,0.0
1098,600242,退市中昌,,,,,,,,,,0.25,,0.0,,,,,,,0.0,0.0
1099,600240,退市华业,,,,,,,,,,0.41,,0.0,,,,,,,0.0,0.0
1100,600220,ST阳光,,,,,,,,,,0.37,,0.0,,,,,,,0.0,-81.41
1101,600219,南山铝业,4.01,0.0,0.0,933879.0,376103060.0,1.5,4.05,3.99,4.02,4.01,1.04,0.8,10.09,0.94,46951296920.0,46951296920.0,-0.25,0.0,11.08,46.35
1102,600213,*ST亚星,,,,,,,,,,6.36,,0.0,,,,,,,0.0,-31.17
1103,600209,退市罗顿,,,,,,,,,,1.18,,0.0,,,,,,,0.0,0.0
1104,600205,S山东铝,,,,,,,,,,25.41,,0.0,,,,,,,0.0,0.0
1105,600193,创兴资源,4.45,0.0,0.0,318689.0,140137583.0,4.94,4.55,4.33,4.45,4.45,0.73,7.49,-72.27,6.83,1892909850.0,1892909850.0,0.0,0.68,27.87,-13.93
1106,600181,S*ST云大,,,,,,,,,,1.02,,0.0,,,,,,,0.0,0.0
1107,600175,退市美都,,,,,,,,,,0.21,,0.0,,,,,,,0.0,0.0
1108,600146,退市环球,,,,,,,,,,0.22,,0.0,,,,,,,0.0,0.0
1109,600145,退市新亿,,,,,,,,,,0.34,,0.0,,,,,,,0.0,0.0
1110,600139,*ST西源,,,,,,,,,,0.74,,0.0,,,,,,,0.0,0.0
1111,600122,*ST宏图,,,,,,,,,,0.38,,0.0,,,,,,,0.0,0.0
1112,600113,浙江东日,14.09,0.0,0.0,69406.0,98310567.0,2.84,14.35,13.95,14.0,14.09,0.7,1.69,42.29,2.5,5937056239.0,5797065044.0,-0.07,0.14,85.15,75.25
1113,600112,*ST天成,,,,,,,,,,0.73,,0.0,,,,,,,0.0,-72.86
1114,600102,莱钢股份,,,,,,,,,,7.13,,0.0,,,,,,,0.0,0.0
1115,600093,退市易见,,,,,,,,,,0.5,,0.0,,,,,,,0.0,0.0
1116,600092,S*ST精密,,,,,,,,,,0.96,,0.0,,,,,,,0.0,0.0
1117,600091,退市明科,,,,,,,,,,0.76,,0.0,,,,,,,0.0,0.0
1118,600090,退市济堂,,,,,,,,,,0.27,,0.0,,,,,,,0.0,0.0
1119,600087,退市长油,,,,,,,,,,0.83,,0.0,,,,,,,0.0,0.0
1120,600086,退市金钰,,,,,,,,,,0.16,,0.0,,,,,,,0.0,0.0
1121,600077,*ST宋都,,,,,,,,,,0.41,,0.0,,,,,,,0.0,0.0
1122,600074,退市保千,,,,,,,,,,0.17,,0.0,,,,,,,0.0,0.0
1123,600069,退市银鸽,,,,,,,,,,0.28,,0.0,,,,,,,0.0,0.0
1124,600068,葛洲坝,,,,,,,,,,9.93,,0.0,,,,,,,0.0,0.0
1125,600065,*ST联谊,,,,,,,,,,1.7,,0.0,,,,,,,0.0,0.0
1126,600019,宝钢股份,6.82,0.0,0.0,708903.0,483132546.0,1.91,6.87,6.74,6.81,6.82,1.01,0.32,19.12,0.75,149939341806.0,149071007471.0,0.15,0.0,17.18,21.35
