,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,002073,6.58,6.61,6.65,6.56,83150,55045481.24,1.37,0.61,0.04,0.87
1,2024-01-03,002073,6.61,6.56,6.65,6.52,114679,75194737.78,1.97,-0.76,-0.05,1.2
2,2024-01-04,002073,6.54,6.47,6.55,6.46,101357,65965490.55,1.37,-1.37,-0.09,1.06
3,2024-01-05,002073,6.47,6.25,6.51,6.2,175768,111279583.8,4.79,-3.4,-0.22,1.84
4,2024-01-08,002073,6.28,6.15,6.28,6.14,115397,71604607.14,2.24,-1.6,-0.1,1.21
5,2024-01-09,002073,6.15,6.21,6.26,6.15,89108,55373978.85,1.79,0.98,0.06,0.93
6,2024-01-10,002073,6.22,6.16,6.26,6.08,77528,47921814.93,2.9,-0.81,-0.05,0.81
7,2024-01-11,002073,6.13,6.28,6.33,6.13,92372,57668390.23,3.25,1.95,0.12,0.96
8,2024-01-12,002073,6.26,6.24,6.35,6.24,57344,36085272.0,1.75,-0.64,-0.04,0.6
9,2024-01-15,002073,6.24,6.23,6.25,6.14,79653,49446182.0,1.76,-0.16,-0.01,0.83
10,2024-01-16,002073,6.21,6.35,6.35,6.17,158809,99205576.12,2.89,1.93,0.12,1.66
11,2024-01-17,002073,6.17,6.0,6.22,5.98,273179,166517540.78,3.78,-5.51,-0.35,2.85
12,2024-01-18,002073,5.97,6.01,6.02,5.8,173134,102522678.0,3.67,0.17,0.01,1.81
13,2024-01-19,002073,5.99,5.91,6.06,5.9,108152,64503264.82,2.66,-1.66,-0.1,1.13
14,2024-01-22,002073,5.91,5.54,5.93,5.42,172582,98289591.81,8.63,-6.26,-0.37,1.8
15,2024-01-23,002073,5.52,5.51,5.54,5.36,149516,81759073.17,3.25,-0.54,-0.03,1.56
16,2024-01-24,002073,5.53,5.6,5.63,5.38,155210,85797332.35,4.54,1.63,0.09,1.62
17,2024-01-25,002073,5.64,5.79,5.8,5.59,123242,70341248.82,3.75,3.39,0.19,1.29
18,2024-01-26,002073,5.78,5.73,5.85,5.72,106864,61778113.12,2.25,-1.04,-0.06,1.12
19,2024-01-29,002073,5.77,5.61,5.78,5.61,122878,69603849.17,2.97,-2.09,-0.12,1.28
20,2024-01-30,002073,5.57,5.45,5.66,5.42,103888,57572218.58,4.28,-2.85,-0.16,1.09
21,2024-01-31,002073,5.43,5.23,5.46,5.18,160664,85197739.13,5.14,-4.04,-0.22,1.68
22,2024-02-01,002073,5.25,5.2,5.34,5.09,144693,75415217.0,4.78,-0.57,-0.03,1.51
23,2024-02-02,002073,5.21,4.94,5.32,4.76,219264,110507124.69,10.77,-5.0,-0.26,2.29
24,2024-02-05,002073,4.92,4.51,4.92,4.45,285073,131964728.76,9.51,-8.7,-0.43,2.98
25,2024-02-06,002073,4.47,4.77,4.93,4.33,241192,110636671.9,13.3,5.76,0.26,2.52
26,2024-02-07,002073,4.79,4.8,4.97,4.66,256297,123604376.92,6.5,0.63,0.03,2.68
27,2024-02-08,002073,4.86,5.25,5.28,4.82,316745,160102899.61,9.58,9.38,0.45,3.31
28,2024-02-19,002073,5.33,5.42,5.54,5.32,325235,176610184.88,4.19,3.24,0.17,3.4
29,2024-02-20,002073,5.4,5.4,5.42,5.27,131521,70558701.39,2.77,-0.37,-0.02,1.37
30,2024-02-21,002073,5.38,5.48,5.62,5.36,186985,103060161.24,4.81,1.48,0.08,1.95
31,2024-02-22,002073,5.47,5.53,5.55,5.44,117612,64625818.01,2.01,0.91,0.05,1.23
32,2024-02-23,002073,5.56,5.61,5.62,5.5,173800,96597825.29,2.17,1.45,0.08,1.82
33,2024-02-26,002073,5.69,5.81,5.93,5.68,241833,140064618.82,4.46,3.57,0.2,2.53
34,2024-02-27,002073,5.77,5.88,5.89,5.71,194823,113520175.87,3.1,1.2,0.07,2.04
35,2024-02-28,002073,5.89,5.52,6.0,5.51,382325,221268809.19,8.33,-6.12,-0.36,3.99
36,2024-02-29,002073,5.48,5.77,5.78,5.42,251893,143082455.59,6.52,4.53,0.25,2.63
37,2024-03-01,002073,5.81,5.89,5.91,5.79,220491,129243394.93,2.08,2.08,0.12,2.3
38,2024-03-04,002073,5.93,5.91,5.95,5.82,169073,99553960.57,2.21,0.34,0.02,1.77
39,2024-03-05,002073,5.9,6.15,6.16,5.85,395860,238964606.86,5.25,4.06,0.24,4.14
40,2024-03-06,002073,6.07,6.09,6.12,5.94,262600,158499197.94,2.93,-0.98,-0.06,2.74
41,2024-03-07,002073,6.09,6.02,6.15,5.98,184140,111709801.14,2.79,-1.15,-0.07,1.92
42,2024-03-08,002073,6.02,6.11,6.11,6.01,156926,95261171.46,1.66,1.5,0.09,1.64
43,2024-03-11,002073,6.15,6.24,6.3,6.13,205786,127969486.69,2.78,2.13,0.13,2.15
44,2024-03-12,002073,6.25,6.52,6.69,6.25,517673,339245344.34,7.05,4.49,0.28,5.41
45,2024-03-13,002073,6.51,6.59,6.71,6.47,267483,176696867.79,3.68,1.07,0.07,2.79
46,2024-03-14,002073,6.59,6.47,6.65,6.38,201999,131629574.51,4.1,-1.82,-0.12,2.11
47,2024-03-15,002073,6.45,6.56,6.58,6.4,130203,84318938.27,2.78,1.39,0.09,1.36
48,2024-03-18,002073,6.6,6.79,6.8,6.58,216409,145414154.23,3.35,3.51,0.23,2.26
49,2024-03-19,002073,6.8,6.71,6.82,6.7,140552,94898033.56,1.77,-1.18,-0.08,1.47
50,2024-03-20,002073,6.71,6.77,6.89,6.7,142710,96691860.43,2.83,0.89,0.06,1.49
51,2024-03-21,002073,6.75,6.9,6.94,6.73,191144,131461672.9,3.1,1.92,0.13,1.99
52,2024-03-22,002073,6.9,6.83,6.92,6.67,194389,131788053.02,3.62,-1.01,-0.07,2.03
53,2024-03-25,002073,6.82,6.86,7.05,6.72,270374,186086755.5,4.83,0.44,0.03,2.82
54,2024-03-26,002073,6.83,6.76,6.89,6.56,217618,146169441.94,4.81,-1.46,-0.1,2.27
55,2024-03-27,002073,6.79,6.58,6.89,6.58,155892,103999628.91,4.59,-2.66,-0.18,1.63
56,2024-03-28,002073,6.56,6.69,6.8,6.52,155659,103980394.35,4.26,1.67,0.11,1.62
57,2024-03-29,002073,6.7,6.82,6.82,6.62,128415,86273090.02,2.99,1.94,0.13,1.34
58,2024-04-01,002073,6.82,7.04,7.24,6.79,375462,265342153.51,6.6,3.23,0.22,3.92
59,2024-04-02,002073,7.04,7.04,7.11,7.0,187182,131918093.21,1.56,0.0,0.0,1.95
60,2024-04-03,002073,7.02,6.99,7.16,6.9,245565,172191523.56,3.69,-0.71,-0.05,2.56
61,2024-04-08,002073,7.03,7.15,7.26,6.92,356078,252711283.5,4.86,2.29,0.16,3.72
62,2024-04-09,002073,7.12,7.49,7.56,7.12,397002,295311901.73,6.15,4.76,0.34,4.14
63,2024-04-10,002073,7.41,7.51,7.64,7.41,291174,219578848.61,3.07,0.27,0.02,3.04
64,2024-04-11,002073,7.44,7.96,8.17,7.44,484391,382593992.37,9.72,5.99,0.45,5.05
65,2024-04-12,002073,7.92,8.28,8.38,7.86,480505,394185274.66,6.53,4.02,0.32,5.01
66,2024-04-15,002073,8.29,8.55,8.6,7.91,468051,387651811.38,8.33,3.26,0.27,4.88
67,2024-04-16,002073,8.33,7.82,8.36,7.79,467944,376077443.82,6.67,-8.54,-0.73,4.88
68,2024-04-17,002073,7.86,8.6,8.6,7.86,507125,423137471.83,9.46,9.97,0.78,5.29
69,2024-04-18,002073,8.57,9.46,9.46,8.44,764295,698333011.74,11.86,10.0,0.86,7.97
70,2024-04-19,002073,9.8,9.57,9.95,9.22,681090,643134298.51,7.72,1.16,0.11,7.11
71,2024-04-22,002073,9.25,9.18,9.5,9.06,557856,516187746.76,4.6,-4.08,-0.39,5.82
72,2024-04-23,002073,9.12,8.79,9.24,8.69,544346,482478964.59,5.99,-4.25,-0.39,5.68
73,2024-04-24,002073,8.78,8.82,8.97,8.6,445711,391357291.54,4.21,0.34,0.03,4.65
