,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,300004,6.18,6.4,6.53,6.17,152188,97383487.0,5.83,3.56,0.22,3.19
1,2024-01-03,300004,6.4,6.38,6.41,6.29,86004,54636988.0,1.88,-0.31,-0.02,1.8
2,2024-01-04,300004,6.36,6.33,6.38,6.28,57105,36102196.0,1.57,-0.78,-0.05,1.2
3,2024-01-05,300004,6.33,6.23,6.38,6.21,57652,36254805.0,2.69,-1.58,-0.1,1.21
4,2024-01-08,300004,6.24,6.15,6.27,6.15,56873,35276845.0,1.93,-1.28,-0.08,1.19
5,2024-01-09,300004,6.16,6.26,6.3,6.16,49110,30668830.0,2.28,1.79,0.11,1.03
6,2024-01-10,300004,6.25,6.22,6.32,6.14,47247,29423546.0,2.88,-0.64,-0.04,0.99
7,2024-01-11,300004,6.2,6.28,6.28,6.18,40334,25160967.0,1.61,0.96,0.06,0.84
8,2024-01-12,300004,6.28,6.18,6.34,6.16,44329,27657880.0,2.87,-1.59,-0.1,0.93
9,2024-01-15,300004,6.2,6.19,6.2,6.11,36633,22582156.0,1.46,0.16,0.01,0.77
10,2024-01-16,300004,6.2,6.16,6.24,6.07,50747,31186610.0,2.75,-0.48,-0.03,1.06
11,2024-01-17,300004,6.18,6.01,6.22,6.01,46119,28194548.0,3.41,-2.44,-0.15,0.97
12,2024-01-18,300004,5.99,5.83,6.04,5.67,86828,50444609.0,6.16,-3.0,-0.18,1.82
13,2024-01-19,300004,5.84,5.69,5.85,5.66,55462,31762051.0,3.26,-2.4,-0.14,1.16
14,2024-01-22,300004,5.69,5.33,5.71,5.26,66260,36380504.0,7.91,-6.33,-0.36,1.39
15,2024-01-23,300004,5.31,5.2,5.34,5.09,88907,46021946.0,4.69,-2.44,-0.13,1.86
16,2024-01-24,300004,5.21,5.26,5.32,5.05,71798,37196913.0,5.19,1.15,0.06,1.5
17,2024-01-25,300004,5.26,5.54,5.54,5.24,66882,36163808.0,5.7,5.32,0.28,1.4
18,2024-01-26,300004,5.5,5.57,5.7,5.5,54853,30828372.0,3.61,0.54,0.03,1.15
19,2024-01-29,300004,5.57,5.34,5.63,5.32,60791,32901016.0,5.57,-4.13,-0.23,1.27
20,2024-01-30,300004,5.34,5.17,5.36,5.16,52880,27728737.0,3.75,-3.18,-0.17,1.11
