,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-01-02,603387,11.01,11.08,11.14,10.96,26097,28836269.0,1.64,0.73,0.08,0.51
1,2024-01-03,603387,11.08,10.99,11.17,10.93,33427,36862327.0,2.17,-0.81,-0.09,0.66
2,2024-01-04,603387,11.07,11.06,11.08,10.93,21368,23538355.0,1.36,0.64,0.07,0.42
3,2024-01-05,603387,11.12,10.89,11.12,10.84,21622,23657710.0,2.53,-1.54,-0.17,0.43
4,2024-01-08,603387,10.97,10.76,10.97,10.75,31909,34573056.0,2.02,-1.19,-0.13,0.63
5,2024-01-09,603387,10.76,10.64,10.82,10.62,28158,30116930.0,1.86,-1.12,-0.12,0.56
6,2024-01-10,603387,10.63,10.55,10.75,10.49,29626,31438919.0,2.44,-0.85,-0.09,0.58
7,2024-01-11,603387,10.54,10.57,10.63,10.42,30291,31930688.0,1.99,0.19,0.02,0.6
8,2024-01-12,603387,10.56,10.49,10.66,10.49,27350,28905640.0,1.61,-0.76,-0.08,0.54
9,2024-01-15,603387,10.4,10.49,10.59,10.38,25972,27189479.0,2.0,0.0,0.0,0.51
10,2024-01-16,603387,10.45,10.44,10.55,10.3,31188,32487976.0,2.38,-0.48,-0.05,0.61
11,2024-01-17,603387,10.35,10.19,10.49,10.18,23000,23754235.0,2.97,-2.39,-0.25,0.45
12,2024-01-18,603387,10.12,9.97,10.18,9.67,69093,67971388.0,5.0,-2.16,-0.22,1.36
13,2024-01-19,603387,9.94,9.83,10.02,9.79,28149,27874637.0,2.31,-1.4,-0.14,0.56
14,2024-01-22,603387,9.81,9.27,9.81,9.22,47732,45339628.0,6.0,-5.7,-0.56,0.94
15,2024-01-23,603387,9.26,9.27,9.34,8.99,41598,38189749.0,3.78,0.0,0.0,0.82
16,2024-01-24,603387,9.38,9.36,9.48,9.0,33824,31237952.0,5.18,0.97,0.09,0.67
17,2024-01-25,603387,9.39,9.72,9.74,9.24,30277,28928055.0,5.34,3.85,0.36,0.6
18,2024-01-26,603387,9.69,9.64,9.83,9.58,28383,27574172.0,2.57,-0.82,-0.08,0.56
19,2024-01-29,603387,9.66,9.3,9.75,9.27,43653,41139323.0,4.98,-3.53,-0.34,0.86
20,2024-01-30,603387,9.27,9.12,9.37,9.09,27516,25426595.0,3.01,-1.94,-0.18,0.54
21,2024-01-31,603387,9.07,8.67,9.15,8.64,54190,47677930.0,5.59,-4.93,-0.45,1.07
22,2024-02-01,603387,8.62,8.64,8.83,8.46,38391,33161830.0,4.27,-0.35,-0.03,0.76
23,2024-02-02,603387,8.59,8.22,8.72,7.95,64838,54006999.0,8.91,-4.86,-0.42,1.28
24,2024-02-05,603387,8.03,7.73,8.21,7.48,102542,80060677.0,8.88,-5.96,-0.49,2.02
25,2024-02-06,603387,7.51,8.01,8.16,7.44,84975,66354180.0,9.31,3.62,0.28,1.68
26,2024-02-07,603387,7.97,8.04,8.42,7.85,92136,75010740.0,7.12,0.37,0.03,1.82
27,2024-02-08,603387,8.07,8.71,8.79,7.97,102145,86017330.0,10.2,8.33,0.67,2.01
28,2024-02-19,603387,8.78,8.92,9.14,8.74,83736,74789907.0,4.59,2.41,0.21,1.65
29,2024-02-20,603387,8.9,8.92,8.98,8.67,31948,28347126.0,3.48,0.0,0.0,0.63
30,2024-02-21,603387,8.81,9.01,9.12,8.78,43087,38850394.0,3.81,1.01,0.09,0.85
31,2024-02-22,603387,8.93,9.11,9.12,8.93,32743,29730765.0,2.11,1.11,0.1,0.65
