alias,auctionEndTime,baseCcy,category,ctMult,ctType,ctVal,ctValCcy,expTime,instFamily,instId,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,uly
,,ATOM,1,,,,,,,ATOM-EUR,SPOT,,1710341700000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,EUR,normal,,live,,0.01,
,,FET,1,,,,,,,FET-EUR,SPOT,,1701774900000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,EUR,normal,,live,,0.001,
,,ICP,1,,,,,,,ICP-EUR,SPOT,,1710341100000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,EUR,normal,,live,,0.01,
,,IMX,1,,,,,,,IMX-EUR,SPOT,,1710341400000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,EUR,normal,,live,,0.001,
,,MATIC,1,,,,,,,MATIC-EUR,SPOT,,1710340500000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,EUR,normal,,live,,0.001,
,,TON,1,,,,,,,TON-EUR,SPOT,,1710340800000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,EUR,normal,,live,,0.001,
,,USDC,1,,,,,,,USDC-EUR,SPOT,,1704877500000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,EUR,normal,,live,,0.01,
,,BTC,1,,,,,,,BTC-TRY,SPOT,,1704876900000,0.00000001,9999999999.0000000000000000,1000000,9999999999,1000000,1000000,1000000,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,TRY,normal,,live,,1,
,,ETH,1,,,,,,,ETH-TRY,SPOT,,1704877200000,0.0000001,99999999999.0000000000000000,1000000,99999999999,1000000,1000000,1000000,99999999999.0000000000000000,99999999999.0000000000000000,0.0001,,TRY,normal,,live,,0.1,
,,FET,1,,,,,,,FET-TRY,SPOT,,1701775800000,0.0001,99999999999999.0000000000000000,1000000,99999999999999,1000000,1000000,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1,,TRY,normal,,live,,0.01,
,,USDT,1,,,,,,,USDT-TRY,SPOT,,1699611540000,0.00001,9999999999999.0000000000000000,1000000,9999999999999,1000000,1000000,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,0.1,,TRY,normal,,live,,0.0001,
,,BTC,1,,,,,,,BTC-USDT,SPOT,10,1605258225000,0.00000001,9999999999.0000000000000000,1000000,9999999999,1000000,,,9999999999.0000000000000000,9999999999.0000000000000000,0.00001,,USDT,normal,,live,,0.1,
,,ETH,1,,,,,,,ETH-USDT,SPOT,10,1605258225000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,,,999999999999.0000000000000000,999999999999.0000000000000000,0.0001,,USDT,normal,,live,,0.01,
,,OKB,1,,,,,,,OKB-USDT,SPOT,10,1605258225000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,,,999999999999.0000000000000000,999999999999.0000000000000000,0.01,,USDT,normal,,live,,0.01,
,,LTC,1,,,,,,,LTC-USDT,SPOT,10,1605258225000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,,,999999999999.0000000000000000,999999999999.0000000000000000,0.1,,USDT,normal,,live,,0.01,
,,XRP,1,,,,,,,XRP-USDT,SPOT,10,1628494994000,0.000001,999999999999.0000000000000000,1000000,999999999999,1000000,1000000,1000000,999999999999.0000000000000000,999999999999.0000000000000000,1,,USDT,normal,,live,,0.0001,
