,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
115,159805,传媒ETF,1.146,1.1488,0.24,0.05,4.56,453882,51206363.017,1.088,1.147,1.088,1.096,5.38,19.82,1.04,-73.0,279145.0,174737.0,4514995.0,8.82,6744710.0,13.17,-2229715.0,-4.35,-2163361.0,-4.22,-2351635.0,-4.59,1662,1.145,1.146,228952480.0,262379542,262379542,2024-11-11,2024-11-11 15:34:21+08:00
116,588050,科创ETF,1.105,1.1039,-0.1,0.048,4.54,13515802,1478505287.0,1.056,1.106,1.056,1.057,4.73,10.51,1.46,-65.65,9036251.0,4479551.0,208488621.0,14.1,360590400.0,24.39,-152101779.0,-10.29,-139034067.0,-9.4,-69454548.0,-4.7,-915,1.105,1.106,12863241216.0,14213881544,14213881544,2024-11-11,2024-11-11 16:11:55+08:00
117,588000,科创50ETF,1.13,1.1295,-0.04,0.049,4.53,104960349,11718450054.0,1.082,1.131,1.082,1.081,4.53,10.07,1.21,-34.27,56255365.0,48704984.0,2113402288.0,18.03,3500714176.0,29.87,-1387311888.0,-11.84,-1466984720.0,-12.52,-646417632.0,-5.52,73,1.129,1.13,104281169920.0,117837722010,117837722010,2024-11-11,2024-11-11 16:11:35+08:00
118,588090,科创板ETF,1.108,1.1082,0.02,0.048,4.53,3852795,421475525.0,1.058,1.109,1.058,1.06,4.81,7.1,1.16,-71.44,2271318.0,1581477.0,93687279.0,22.23,140574783.0,33.35,-46887504.0,-11.12,-63090615.0,-14.97,-30596664.0,-7.26,-555,1.108,1.109,5428072704.0,6014304556,6014304556,2024-11-11,2024-11-11 16:11:58+08:00
119,515000,科技ETF,1.433,1.4317,-0.09,0.062,4.52,1719334,242534212.0,1.369,1.434,1.364,1.371,5.11,6.18,1.25,25.53,1082150.0,637184.0,53499481.0,22.06,29213076.0,12.04,24286405.0,10.01,-28718672.0,-11.84,-24780809.0,-10.22,99,1.43,1.432,2781289696.0,3985588134,3985588134,2024-11-11,2024-11-11 16:11:44+08:00
120,159709,物联网ETF工银,0.974,0.9736,-0.04,0.042,4.51,34925,3361579.318,0.932,0.976,0.932,0.932,4.72,3.55,3.19,5.86,22624.0,12301.0,1014014.0,30.16,1218110.0,36.24,-204096.0,-6.07,-685321.0,-20.39,-328694.0,-9.78,379,0.974,0.975,98484060.0,95923474,95923474,2024-11-11,2024-11-11 15:34:09+08:00
121,515260,电子ETF,0.975,0.9786,0.37,0.042,4.5,258086,24895524.0,0.934,0.976,0.933,0.933,4.61,3.88,1.38,-27.2,143142.0,114944.0,5721053.0,22.98,5831399.0,23.42,-110346.0,-0.44,-3584181.0,-14.4,-2136871.0,-8.58,-10,0.975,0.976,665284208.0,648652103,648652103,2024-11-11,2024-11-11 16:11:41+08:00
122,588080,科创板50ETF,1.099,1.0986,-0.04,0.047,4.47,33697411,3661796970.0,1.052,1.1,1.048,1.052,4.94,5.36,1.31,-73.58,18481254.0,15216157.0,671175264.0,18.33,1079962624.0,29.49,-408787360.0,-11.16,-460793072.0,-12.58,-210382210.0,-5.75,1793,1.098,1.099,62833628160.0,69054157348,69054157348,2024-11-11,2024-11-11 16:11:51+08:00
123,560800,数字经济ETF,0.843,0.8443,0.15,0.036,4.46,674082,56081960.0,0.806,0.845,0.801,0.807,5.45,5.83,0.77,-65.04,392971.0,281111.0,9813892.0,17.5,16213032.0,28.91,-6399140.0,-11.41,-6357047.0,-11.34,-3456846.0,-6.16,360,0.843,0.844,1155951104.0,974466781,974466781,2024-11-11,2024-11-11 16:11:58+08:00
124,588150,科创50ETF南方,0.75,0.7516,0.21,0.032,4.46,783483,58240306.0,0.718,0.752,0.718,0.718,4.74,12.63,1.12,-46.18,415519.0,367964.0,15763489.0,27.07,27489891.0,47.2,-11726402.0,-20.13,-11721757.0,-20.13,-4041732.0,-6.94,20,0.749,0.75,620432608.0,465324456,465324456,2024-11-11,2024-11-11 16:11:47+08:00
